# {"t_start": 1564699416.8030097, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,820,6.215922
-20.0,889,11.705794
-20.0,916,17.280729
-20.0,969,23.206386
-21.0,759,27.684668
-20.0,900,33.206438
-21.0,822,38.407821
-21.0,779,43.171443
-21.0,878,48.607028
-21.0,846,53.808743
-21.0,777,58.580099
-19.0,1056,65.159511
-21.0,912,70.800097
-21.0,836,75.894309
-21.0,1068,82.648821
-21.0,880,88.003269
-20.0,865,93.384141
-20.0,842,98.633069
-20.0,856,103.839271
-21.0,782,108.844061
-20.0,1074,115.423374
-21.0,991,121.586916
-20.0,1078,128.181846
-20.0,1130,135.185652
-21.0,824,140.220562
-21.0,821,145.40975
-21.0,940,151.175046
-21.0,819,156.245921
-20.0,1022,162.574726
-21.0,781,167.354274
-19.0,1036,173.961128
-21.0,885,179.293076
-20.0,888,184.777187
-21.0,992,190.990129
-21.0,944,196.825167
-21.0,1039,203.325414
-21.0,823,208.346463
-21.0,882,213.820421
-20.0,977,219.829308
-19.0,1252,227.638479
-21.0,775,232.49571
-20.0,839,237.781531
-21.0,940,243.602618
-21.0,821,248.914982
-20.0,1098,255.745353
-20.0,977,261.942184
-21.0,879,267.582148
-21.0,822,272.714581
-20.0,1186,280.057223
-21.0,1210,287.783404
-20.0,1119,294.689498
-20.0,988,301.01806
-21.0,943,306.934849
-20.0,1095,314.906384
-20.0,959,321.558137
-20.0,1157,329.607482
-20.0,1045,336.722354
-20.0,920,342.748547
-20.0,946,348.913195
-20.0,986,355.426207
-18.0,1396,364.565506
-19.0,961,370.749342
-19.0,1191,378.992569
-19.0,1204,387.107754
-21.0,823,392.500989
-19.0,1013,399.197593
-21.0,1181,407.018798
-17.0,1506,417.118308
-18.0,1489,427.639137
-19.0,1175,435.537716
-17.0,1711,447.329382
-15.0,1785,458.548925
-20.0,1518,468.070144
-21.0,1976,480.575302
-21.0,2119,493.908273
-20.0,2112,507.693928
-19.0,2224,523.17613
-18.0,2216,537.413723
-16.0,2579,553.757139
-20.0,2466,568.980053
-15.0,2444,584.176718
-17.0,2261,597.980268
-15.0,3283,618.083808
-20.0,1901,629.654723
-16.0,2202,642.93163
-15.0,2498,658.036999
-16.0,3046,677.034211
-15.0,2263,691.433593
-17.0,2232,705.250427
-15.0,2662,722.974019
-15.0,2250,738.111283
-15.0,2193,752.174201
