# {"t_start": 1564699416.782124, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,979,7.175526
-21.0,824,12.344314
-20.0,924,17.95931
-21.0,763,22.554576
-21.0,821,27.498541
-20.0,962,33.487722
-21.0,788,38.358211
-21.0,792,43.175207
-21.0,785,47.999587
-21.0,871,53.483791
-20.0,1014,59.736406
-20.0,901,65.24813
-20.0,839,70.353747
-21.0,821,75.541919
-21.0,791,80.436988
-21.0,819,85.498874
-20.0,912,91.126787
-21.0,851,96.391198
-21.0,851,101.73975
-21.0,942,107.526116
-21.0,1004,113.766889
-21.0,823,118.804128
-21.0,819,123.969616
-20.0,858,129.137039
-21.0,820,134.287489
-21.0,889,139.810178
-20.0,958,145.68874
-21.0,1000,151.911124
-20.0,959,157.816814
-20.0,895,163.355494
-21.0,934,169.234779
-20.0,854,174.452055
-21.0,881,179.926252
-21.0,878,185.366448
-21.0,939,191.147481
-19.0,937,197.099324
-21.0,1063,203.556561
-20.0,1006,209.823736
-21.0,972,215.746611
-21.0,880,221.245191
-21.0,1239,229.005621
-21.0,819,234.044768
-21.0,853,239.464281
-21.0,821,244.534587
-20.0,980,250.868984
-21.0,1059,257.441607
-20.0,1067,264.084699
-21.0,882,269.766738
-21.0,1033,276.321944
-21.0,971,282.388273
-19.0,1150,289.580098
-21.0,1091,296.339195
-21.0,1088,303.351036
-21.0,853,309.110786
-20.0,1081,316.664209
-20.0,1043,324.193518
-21.0,823,329.858054
-20.0,1152,337.585514
-19.0,1492,347.246907
-21.0,1063,354.210315
-20.0,1019,360.859171
-18.0,1215,368.851794
-20.0,1040,375.778091
-21.0,1065,383.142996
-21.0,1252,391.527694
-20.0,1298,400.065731
-19.0,1358,409.145717
-20.0,978,415.56861
-20.0,973,422.11539
-21.0,1252,431.214561
-18.0,1605,442.466265
-17.0,2038,455.289932
-21.0,1227,463.166507
-20.0,1712,473.944635
-18.0,2204,487.706986
-20.0,2191,501.518129
-18.0,2323,517.943426
-17.0,2318,532.93612
-18.0,2503,548.929902
-13.0,2577,564.746485
-13.0,2645,581.079474
-18.0,2920,599.21754
-16.0,2531,614.754092
-17.0,1986,626.71218
-18.0,2527,642.029164
-18.0,2602,657.801605
-16.0,2796,675.206478
-16.0,2327,689.943139
-11.0,3009,708.705012
-11.0,2853,728.230325
-15.0,2161,742.211519
-18.0,2189,756.259073
-19.0,2562,772.399279
-15.0,2781,789.765928
-13.0,2769,807.144955
-14.0,2704,823.811793
-11.0,3032,842.716908
-16.0,2519,858.359862
-14.0,2641,874.562207
-13.0,3205,894.706191
-5.0,4490,921.890267
-8.0,3249,941.555273
-7.0,3561,962.742535
-7.0,3342,982.764578
-4.0,3592,1004.621335
-6.0,3670,1026.63143
-11.0,2750,1043.140103
-7.0,3842,1066.393211
-4.0,3950,1090.347135
-7.0,3753,1113.000018
-7.0,3901,1136.416586
-3.0,4223,1161.834327
-12.0,2880,1179.133306
-1.0,4960,1209.009699
-9.0,3150,1228.232746
-7.0,3211,1247.68922
4.0,3015,1266.104901
-3.0,4648,1294.291151
17.0,2216,1307.634148
