# {"t_start": 1564702387.5201683, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,171,3.268481
2.0,223,5.39867
0.0,125,6.619816
1.0,173,8.197752
0.0,125,9.411472
1.0,176,11.440197
0.0,127,12.47833
2.0,200,14.512069
0.0,127,15.755305
1.0,157,17.263741
5.0,351,21.012727
9.0,422,25.478482
0.0,125,26.857751
5.0,330,30.229923
0.0,129,31.418829
0.0,129,32.584096
1.0,176,34.222183
2.0,202,36.470277
0.0,127,37.779331
2.0,202,39.791524
3.0,230,42.29547
2.0,200,44.234132
0.0,129,45.495605
0.0,127,46.781066
0.0,127,48.037445
0.0,129,49.286302
9.0,401,53.482228
0.0,123,54.756103
0.0,129,55.821246
0.0,129,57.134255
0.0,129,58.382801
0.0,129,59.697528
0.0,127,61.062476
0.0,129,62.285389
5.0,350,66.06518
0.0,125,67.134177
3.0,230,69.5838
5.0,352,73.529141
0.0,127,74.73956
0.0,127,76.007303
0.0,129,77.055028
0.0,127,78.240574
1.0,155,79.725492
0.0,127,81.002666
4.0,297,84.03622
0.0,129,85.308614
5.0,350,89.076625
0.0,129,90.442836
9.0,404,94.929793
1.0,173,96.605409
0.0,125,97.974191
3.0,248,100.676671
2.0,199,102.608408
4.0,279,105.4712
2.0,202,107.636974
0.0,127,108.821836
2.0,201,110.658394
4.0,262,113.44499
0.0,127,114.66373
1.0,178,116.50585
3.0,234,119.028006
14.0,481,124.289798
2.0,183,126.206653
3.0,250,128.784684
11.0,442,133.271228
11.0,454,138.053674
11.0,470,142.777137
9.0,516,148.138187
5.0,350,151.750624
4.0,323,154.977585
0.0,127,156.27654
2.0,200,158.173811
6.0,345,161.763727
6.0,316,164.840955
2.0,223,167.067971
12.0,521,172.373059
1.0,155,173.948525
7.0,418,178.297773
0.0,129,179.554082
2.0,206,181.683609
5.0,315,184.769206
7.0,415,189.036212
1.0,155,190.507812
12.0,321,194.073962
0.0,129,195.341724
3.0,214,197.331558
4.0,265,199.997958
4.0,245,202.442047
8.0,299,205.334761
5.0,275,208.107505
16.0,588,214.252064
9.0,513,219.297241
9.0,496,224.224627
10.0,382,228.372171
1.0,152,229.778846
7.0,426,233.879645
8.0,382,237.82509
5.0,298,241.179335
12.0,504,246.524217
12.0,452,251.526016
9.0,496,256.995456
12.0,497,262.621108
0.0,129,263.866926
12.0,498,269.849297
4.0,301,272.980541
5.0,316,276.409788
7.0,346,279.931291
2.0,205,282.186582
7.0,398,286.849512
9.0,494,292.258924
7.0,373,296.402423
9.0,495,301.930941
6.0,376,306.171789
8.0,466,311.223511
7.0,374,315.285075
14.0,525,321.053814
7.0,405,325.472681
7.0,418,329.981954
5.0,325,333.905382
15.0,558,339.956181
17.0,438,344.636571
4.0,299,347.966586
5.0,299,351.12025
4.0,278,354.045535
3.0,254,356.789788
7.0,408,361.36791
11.0,531,367.266809
8.0,443,371.945986
12.0,597,378.366411
5.0,373,382.499979
10.0,396,386.983467
3.0,252,389.800389
8.0,461,395.302713
9.0,455,400.208283
8.0,443,404.808778
7.0,451,409.340576
13.0,669,416.432353
7.0,391,420.804888
7.0,416,425.065544
8.0,475,429.97099
7.0,385,433.891883
10.0,522,439.237496
15.0,437,443.688405
7.0,434,448.048834
10.0,527,453.392083
10.0,472,459.042983
5.0,308,462.115026
21.0,549,468.052797
10.0,498,472.829052
10.0,500,477.945899
8.0,452,482.867967
15.0,630,489.307948
12.0,643,495.839736
12.0,478,500.860323
8.0,480,505.600512
10.0,477,510.342067
18.0,632,517.002002
12.0,608,524.488521
10.0,501,530.111399
8.0,445,534.86746
16.0,449,539.841065
3.0,252,542.437492
9.0,463,547.437943
10.0,515,552.489333
9.0,328,555.935974
15.0,671,563.054821
14.0,545,568.545914
12.0,483,573.529118
9.0,468,578.182931
11.0,532,583.85336
14.0,603,589.943273
8.0,403,594.348717
5.0,308,597.235352
12.0,515,602.283
9.0,444,606.735699
18.0,663,613.653183
11.0,505,618.887467
10.0,505,623.707752
7.0,375,627.348369
8.0,410,631.724556
12.0,460,637.037432
12.0,552,643.430305
12.0,449,648.108582
19.0,697,655.731224
7.0,394,659.896917
9.0,427,664.947438
10.0,536,670.65636
6.0,360,674.323947
13.0,483,679.178825
7.0,373,683.085093
9.0,499,688.413292
18.0,611,694.680443
19.0,690,701.649907
19.0,663,708.717167
15.0,528,714.911125
12.0,533,720.401938
16.0,659,727.149213
20.0,329,730.646024
20.0,591,736.803735
23.0,639,743.72804
5.0,296,746.768585
14.0,545,752.838627
7.0,417,757.091585
9.0,461,761.94049
11.0,567,767.697776
11.0,537,773.149895
16.0,639,779.634853
16.0,627,786.075245
16.0,619,792.664712
9.0,498,797.941245
10.0,483,802.689365
8.0,413,806.796668
10.0,506,812.025688
12.0,623,818.519884
12.0,604,824.564662
12.0,558,831.076511
14.0,545,837.153891
9.0,502,842.672914
23.0,774,851.070059
20.0,713,858.539209
19.0,720,866.11221
10.0,499,871.200844
10.0,489,876.606199
24.0,809,885.416269
11.0,605,891.830707
14.0,651,898.619656
15.0,658,905.455291
14.0,591,911.938765
15.0,676,919.27307
9.0,465,923.923094
21.0,804,932.169441
8.0,437,936.853139
17.0,735,944.160176
17.0,602,950.41177
14.0,522,955.758353
13.0,640,962.325786
14.0,671,969.104802
16.0,653,975.707601
15.0,620,982.118593
14.0,683,989.338341
13.0,599,995.441073
22.0,745,1003.154127
11.0,435,1007.365338
8.0,440,1012.042196
14.0,705,1019.457109
11.0,553,1024.846292
23.0,659,1031.190309
19.0,782,1038.634373
14.0,662,1045.007758
12.0,612,1051.393347
26.0,850,1060.002506
10.0,521,1065.067384
12.0,598,1070.756279
16.0,567,1076.202378
13.0,596,1082.262275
18.0,696,1089.065924
9.0,456,1093.534338
14.0,484,1097.97551
29.0,715,1105.175881
11.0,469,1109.556324
31.0,781,1117.48034
20.0,667,1124.565439
11.0,578,1130.4324
9.0,458,1134.990537
43.0,822,1143.408024
27.0,722,1150.415228
20.0,712,1157.689036
14.0,638,1164.196458
15.0,607,1170.129618
20.0,721,1177.264169
25.0,774,1185.280279
20.0,700,1192.207779
23.0,698,1199.263081
17.0,665,1206.18217
18.0,603,1211.882082
16.0,688,1218.855142
16.0,645,1225.345544
13.0,612,1232.21349
20.0,792,1240.574823
23.0,706,1248.564169
15.0,766,1255.961176
11.0,537,1261.081642
10.0,476,1265.792353
14.0,542,1271.068355
32.0,888,1279.629129
10.0,580,1285.069848
20.0,678,1291.974305
17.0,620,1297.719714
14.0,637,1303.815768
14.0,528,1309.149177
22.0,945,1319.067451
19.0,672,1326.500279
25.0,811,1334.835838
34.0,1082,1345.684058
25.0,677,1352.912953
32.0,740,1360.674271
11.0,509,1365.82349
22.0,692,1372.424444
24.0,783,1380.23516
11.0,541,1385.701052
34.0,702,1392.903869
29.0,968,1402.805249
34.0,952,1412.812232
17.0,680,1419.875699
24.0,838,1428.143256
17.0,612,1434.565037
24.0,663,1441.556095
15.0,567,1447.589649
12.0,476,1452.964491
28.0,724,1461.116205
11.0,510,1466.317435
27.0,614,1473.040198
35.0,888,1483.136709
25.0,553,1489.02616
44.0,1178,1501.63747
23.0,693,1509.11238
24.0,600,1515.531658
28.0,631,1522.12872
11.0,532,1527.576729
29.0,963,1537.55371
26.0,896,1547.089485
40.0,1074,1558.293782
19.0,634,1564.759654
18.0,624,1571.201528
15.0,648,1577.903874
22.0,736,1586.168749
28.0,726,1593.675724
24.0,778,1601.484136
12.0,550,1606.912385
10.0,524,1611.955597
18.0,830,1620.917414
29.0,906,1630.44119
38.0,967,1640.006608
49.0,1065,1651.426572
18.0,669,1658.464348
20.0,592,1664.839658
37.0,957,1674.789249
29.0,767,1683.026778
24.0,569,1688.933039
33.0,591,1694.755105
22.0,547,1700.32003
32.0,782,1708.330319
14.0,590,1714.0887
46.0,1061,1724.766829
34.0,1060,1735.176748
20.0,732,1742.512706
19.0,705,1749.332505
34.0,930,1758.712229
23.0,697,1765.942365
26.0,767,1773.567076
23.0,856,1782.448464
23.0,771,1790.004701
20.0,641,1796.887283
40.0,838,1805.652769
23.0,687,1813.097871
18.0,676,1820.17186
20.0,456,1824.975363
20.0,727,1832.750496
