# {"t_start": 1564702387.7277255, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,127,2.424899
2.0,224,4.788185
0.0,127,6.030641
0.0,129,7.232178
0.0,125,8.407228
3.0,252,11.139828
2.0,202,13.030088
1.0,177,14.699839
5.0,375,18.646813
0.0,125,19.880447
5.0,350,23.64333
0.0,127,24.718252
0.0,129,26.050546
1.0,157,27.743888
0.0,129,29.014682
0.0,129,30.264839
2.0,200,32.194347
2.0,202,34.077134
2.0,199,36.300489
2.0,198,38.288477
0.0,129,39.610265
1.0,176,41.342779
4.0,301,44.485752
0.0,129,45.739895
0.0,127,47.012573
4.0,319,50.414658
2.0,202,52.400403
0.0,129,53.664581
0.0,129,54.975635
12.0,431,59.539446
0.0,129,60.910738
0.0,129,62.148609
0.0,129,63.40146
0.0,127,64.688012
0.0,125,65.939884
0.0,127,67.278452
0.0,129,68.365303
1.0,178,70.33946
0.0,129,71.654005
5.0,350,75.240772
1.0,157,76.743421
3.0,230,79.060542
3.0,231,81.50986
0.0,125,82.731394
0.0,129,83.8027
0.0,129,85.077225
0.0,129,86.367192
2.0,198,88.496013
0.0,125,89.826132
0.0,127,90.885736
2.0,206,93.26384
0.0,129,94.588724
1.0,178,96.323254
0.0,129,97.719233
1.0,173,99.536275
2.0,206,101.690734
2.0,200,103.684987
0.0,129,104.93696
1.0,157,106.502118
0.0,125,107.68798
2.0,186,109.396902
1.0,173,111.244662
2.0,227,113.476481
3.0,234,115.984408
6.0,379,120.069317
2.0,185,121.890563
1.0,157,123.455425
0.0,129,124.835485
4.0,299,128.18537
2.0,202,130.08277
1.0,178,131.772706
1.0,173,133.62157
1.0,155,135.063456
2.0,225,137.131599
10.0,351,140.879645
6.0,369,144.716132
8.0,449,149.180039
1.0,155,150.648225
3.0,230,153.003333
2.0,206,155.004042
0.0,129,156.287793
2.0,201,158.410236
2.0,183,160.114773
1.0,174,161.804121
5.0,326,165.144996
2.0,204,167.004491
7.0,392,170.920972
12.0,502,176.339792
7.0,399,180.453198
0.0,125,181.642055
0.0,127,182.861955
10.0,492,187.785818
8.0,467,192.815634
17.0,594,199.123138
15.0,417,203.310875
7.0,406,207.364974
9.0,404,211.553594
1.0,175,213.178007
12.0,497,218.069408
8.0,443,222.443362
10.0,359,226.343294
4.0,260,229.031979
7.0,371,232.6717
3.0,254,234.915523
6.0,352,238.71706
5.0,316,242.01668
6.0,394,246.34754
11.0,402,250.611313
15.0,474,255.799988
8.0,447,261.04138
17.0,498,266.664689
5.0,327,270.539606
7.0,374,274.343824
7.0,370,278.303228
10.0,473,283.748027
5.0,305,287.133142
8.0,467,292.474338
15.0,581,298.82133
12.0,520,304.653244
5.0,331,308.483893
8.0,467,313.394657
10.0,497,318.925454
8.0,429,323.540374
17.0,653,330.818508
3.0,272,333.937212
14.0,585,340.440019
4.0,266,343.105272
10.0,502,348.592107
9.0,541,354.464996
6.0,363,358.487358
9.0,507,364.226619
12.0,497,369.708945
22.0,619,376.367043
8.0,487,381.56396
7.0,449,386.738811
5.0,294,390.259058
6.0,399,394.850989
7.0,398,399.256824
8.0,405,403.353225
7.0,408,407.486305
9.0,490,412.616929
10.0,414,417.007972
9.0,514,422.67744
10.0,524,428.032705
17.0,663,434.921856
9.0,415,439.051714
8.0,279,441.881262
11.0,549,447.443597
14.0,347,451.012945
11.0,538,456.921778
14.0,551,462.938931
12.0,520,468.356975
5.0,350,471.810369
11.0,546,477.299511
9.0,438,481.923201
11.0,534,487.533992
13.0,569,493.265702
7.0,427,497.655786
13.0,597,503.782262
16.0,602,509.804551
9.0,350,513.193208
19.0,682,521.062387
13.0,521,527.592639
5.0,308,530.691125
10.0,378,534.680709
10.0,489,540.007862
5.0,299,543.306271
9.0,515,548.661525
8.0,473,553.444967
13.0,608,560.095382
8.0,491,565.01183
18.0,727,572.211996
16.0,584,578.406527
10.0,506,583.679253
14.0,552,589.309217
14.0,533,595.028956
9.0,504,599.952563
15.0,656,606.416493
7.0,377,610.215956
11.0,564,616.133777
11.0,573,621.84409
16.0,652,628.28831
12.0,461,633.334921
13.0,596,640.369862
11.0,562,646.458236
9.0,470,651.545579
17.0,522,657.10212
16.0,648,664.62062
20.0,649,671.560194
8.0,423,675.861504
13.0,595,682.140162
9.0,503,687.299551
17.0,692,694.516931
10.0,509,699.73568
10.0,438,704.281041
12.0,589,710.412257
11.0,540,716.571434
15.0,586,722.70174
9.0,459,727.264989
17.0,518,732.764095
8.0,409,736.999675
11.0,528,742.682291
9.0,470,747.7624
14.0,594,754.458409
10.0,519,759.666881
21.0,655,766.360756
6.0,376,770.260454
25.0,725,777.685828
8.0,405,781.70855
14.0,425,785.987244
16.0,618,792.590704
14.0,382,796.557682
20.0,737,803.965104
15.0,560,809.803902
12.0,559,815.708711
13.0,543,821.115624
10.0,510,826.452307
18.0,699,834.310236
15.0,572,840.896677
15.0,608,847.342995
18.0,691,854.880969
9.0,472,859.703705
15.0,686,866.732451
19.0,731,874.734771
16.0,619,881.650136
11.0,539,887.24799
18.0,598,893.4988
24.0,760,901.394881
4.0,260,904.0103
17.0,690,911.609602
15.0,704,919.212439
12.0,580,925.142756
18.0,660,931.838014
17.0,500,937.095389
13.0,595,943.148056
20.0,654,949.838107
9.0,439,954.224943
13.0,548,959.797315
16.0,635,966.398661
14.0,647,972.873447
7.0,394,976.879987
7.0,434,981.168009
12.0,519,986.539701
11.0,530,992.217373
9.0,440,996.632477
10.0,552,1002.366864
26.0,786,1010.378638
17.0,661,1017.449488
9.0,440,1021.746752
13.0,611,1027.750826
19.0,765,1035.087205
9.0,310,1037.887839
12.0,598,1043.496962
31.0,851,1052.355743
10.0,574,1057.952129
14.0,530,1063.132628
14.0,679,1069.909942
27.0,831,1078.110824
17.0,647,1084.554325
12.0,667,1090.988153
13.0,597,1096.797224
11.0,584,1102.494212
12.0,600,1108.386656
19.0,489,1112.892745
17.0,684,1120.157186
26.0,697,1127.414706
25.0,674,1134.255031
24.0,824,1142.544422
18.0,607,1148.560426
22.0,755,1156.173245
17.0,582,1161.967595
8.0,398,1166.005491
12.0,577,1171.715143
28.0,924,1181.120488
18.0,792,1189.090561
22.0,697,1196.055929
17.0,799,1204.197594
10.0,496,1209.026778
22.0,763,1216.526055
10.0,541,1222.250099
21.0,728,1229.934919
12.0,578,1235.960229
43.0,1003,1247.476961
19.0,731,1254.449384
18.0,789,1262.058644
17.0,532,1267.266847
20.0,795,1275.221002
18.0,680,1281.642378
14.0,505,1286.51336
23.0,809,1294.418379
19.0,730,1301.266317
27.0,873,1310.274483
8.0,402,1314.454195
24.0,758,1322.491491
16.0,676,1329.495386
15.0,593,1335.689094
38.0,1063,1346.331277
16.0,530,1352.047365
35.0,998,1362.58604
24.0,492,1367.215632
17.0,658,1373.675877
10.0,499,1378.573853
31.0,762,1386.30506
23.0,832,1394.638882
18.0,620,1401.200006
25.0,787,1409.086561
22.0,817,1417.766273
25.0,792,1425.641709
22.0,745,1433.417294
47.0,1199,1446.186209
18.0,731,1454.552247
12.0,501,1460.255272
14.0,651,1466.951862
32.0,555,1472.948886
14.0,608,1479.993307
25.0,788,1488.502233
17.0,660,1495.47806
24.0,550,1501.237488
43.0,1112,1513.426365
20.0,599,1519.614403
10.0,500,1524.712797
16.0,671,1531.695058
29.0,768,1539.704953
38.0,1016,1550.524254
28.0,914,1560.023787
21.0,598,1565.966243
20.0,636,1572.550471
42.0,1141,1585.023774
24.0,773,1593.156602
16.0,676,1599.85588
42.0,648,1606.431089
28.0,830,1614.59491
45.0,1054,1625.974571
27.0,871,1634.713007
21.0,729,1642.232526
38.0,696,1649.637807
30.0,731,1657.486779
21.0,658,1664.465183
21.0,731,1671.926711
18.0,667,1679.207485
15.0,548,1684.908314
29.0,906,1694.112938
28.0,940,1703.795171
21.0,569,1709.394962
36.0,916,1718.351871
15.0,654,1725.018682
25.0,726,1732.193549
21.0,803,1740.082392
15.0,628,1746.261045
21.0,726,1753.426744
42.0,1241,1766.153674
38.0,951,1775.950162
25.0,644,1782.439745
14.0,664,1788.871251
13.0,491,1793.999393
14.0,497,1799.396806
33.0,662,1806.323761
31.0,758,1814.447267
19.0,632,1820.907731
28.0,868,1830.316898
64.0,1193,1842.744971
37.0,1071,1854.098707
