# {"t_start": 1564960580.7344005, "env_id": "RobotankNoFrameskip-v4"} 
r,l,t
0.0,1556,22.777987
1.0,1256,40.121301
1.0,2136,69.715284
1.0,1896,97.145487
3.0,3978,164.302572
1.0,1717,192.509201
4.0,3263,245.761631
0.0,1228,266.120727
5.0,2073,300.381193
0.0,1994,331.337971
5.0,3491,387.30204
1.0,3353,440.405335
1.0,1910,470.97662
0.0,2190,505.982386
6.0,3821,567.911566
2.0,3671,628.317852
3.0,2729,672.098198
3.0,2450,710.87482
0.0,1226,730.456476
1.0,1576,757.536991
2.0,3271,812.21145
3.0,3362,869.919636
9.0,4650,948.379585
3.0,2226,985.555004
5.0,4010,1052.007513
1.0,3940,1119.931264
2.0,2574,1163.993981
10.0,7100,1278.358769
15.0,5666,1367.527793
6.0,3736,1428.504379
8.0,3572,1485.802035
9.0,5478,1572.572684
7.0,2617,1614.860432
5.0,2915,1661.166466
2.0,2846,1706.68992
6.0,4552,1779.420691
4.0,2964,1827.025423
0.0,1898,1857.466433
3.0,4314,1927.376564
3.0,1838,1956.668096
1.0,1704,1983.76412
6.0,2824,2028.91719
8.0,2807,2073.986521
4.0,2125,2108.199613
4.0,2672,2150.701484
6.0,3584,2209.218021
3.0,2107,2244.27684
3.0,4558,2317.353626
2.0,2170,2357.291516
3.0,1816,2390.750617
5.0,3870,2463.570005
1.0,1246,2488.265038
2.0,2495,2539.067392
1.0,1825,2576.845714
4.0,1489,2607.371691
3.0,3473,2678.141702
4.0,3353,2745.385873
2.0,2947,2804.423812
1.0,661,2817.16252
2.0,1725,2851.952756
4.0,2896,2911.013994
0.0,1987,2950.087456
2.0,2755,3006.866264
2.0,1610,3039.222061
3.0,1707,3074.033892
3.0,2707,3129.408353
1.0,1085,3151.00371
6.0,3061,3213.420763
6.0,2409,3262.303668
1.0,860,3279.753339
0.0,1712,3314.605762
0.0,2500,3365.816226
3.0,2084,3407.899793
0.0,2011,3449.079694
2.0,1842,3487.459838
3.0,1609,3519.930416
2.0,1642,3553.590481
0.0,1690,3588.944035
5.0,3397,3658.256545
7.0,5010,3762.735337
1.0,2231,3809.251552
3.0,2948,3870.104308
2.0,3235,3936.915573
2.0,2797,3991.974754
1.0,1735,4025.956907
4.0,2791,4080.824336
0.0,1633,4112.310766
1.0,2143,4153.772895
4.0,2134,4196.054568
2.0,2127,4238.781252
4.0,1763,4274.132398
3.0,1887,4311.237767
2.0,2248,4356.307928
2.0,2593,4407.452634
5.0,2936,4465.145855
0.0,2139,4508.346695
2.0,1381,4535.965353
2.0,2819,4592.584713
4.0,2500,4642.639106
3.0,2141,4685.286876
5.0,3796,4758.032134
4.0,2736,4812.089421
0.0,1065,4833.268752
10.0,4262,4918.371125
4.0,2118,4960.069243
6.0,3022,5019.779411
5.0,2925,5077.894898
3.0,2634,5130.310886
4.0,2932,5187.691673
4.0,2213,5230.436332
1.0,1725,5264.480587
3.0,3286,5330.112377
5.0,2486,5380.343446
4.0,2146,5422.630492
7.0,3887,5500.223799
1.0,1173,5523.75548
2.0,2517,5572.35098
5.0,3653,5645.559399
0.0,1190,5667.788193
5.0,5321,5773.047884
2.0,1735,5807.22656
7.0,2941,5865.234877
4.0,1794,5900.563414
6.0,3028,5960.435482
2.0,1257,5984.337646
4.0,2790,6038.989643
0.0,1781,6073.904545
6.0,3691,6147.265538
7.0,2454,6196.301162
6.0,3391,6263.993558
2.0,1496,6292.968332
2.0,1627,6325.121074
4.0,5148,6428.259721
2.0,1769,6463.595736
1.0,2509,6514.087749
4.0,3012,6572.637782
5.0,3362,6638.418089
2.0,1635,6670.351238
3.0,3717,6744.549878
2.0,2243,6789.335488
8.0,3087,6851.112265
2.0,2409,6898.660331
4.0,2743,6952.579107
3.0,2589,7004.858747
3.0,2501,7055.772664
4.0,1880,7093.406068
5.0,2118,7135.218121
3.0,1797,7170.952154
4.0,2590,7221.909343
2.0,2781,7276.240635
3.0,2786,7330.429498
3.0,4086,7412.103581
6.0,2595,7463.695841
7.0,2852,7520.015741
18.0,6932,7655.529818
7.0,2390,7702.282813
8.0,3573,7772.21998
5.0,2792,7828.081464
2.0,3130,7889.388236
2.0,2775,7944.09418
3.0,2788,7999.420593
4.0,2182,8043.390017
1.0,1930,8081.253031
2.0,1975,8120.491161
5.0,3082,8182.726774
5.0,3157,8246.33006
9.0,2950,8303.631919
8.0,2821,8358.951886
8.0,3657,8432.23493
6.0,3445,8498.485972
8.0,2991,8556.918919
12.0,4140,8638.086797
6.0,2550,8688.41275
9.0,4001,8767.102357
11.0,4591,8858.156247
9.0,3251,8922.236168
13.0,4218,9004.943671
7.0,3187,9067.484894
12.0,4430,9155.937113
14.0,4527,9245.408676
10.0,4168,9328.122002
9.0,3322,9394.217986
1.0,1232,9417.831816
3.0,2169,9461.298378
3.0,2064,9502.866464
7.0,3215,9564.332383
11.0,4727,9658.157008
18.0,7027,9797.481638
6.0,3228,9860.94335
3.0,2044,9901.728147
16.0,6457,10029.012088
11.0,3286,10094.034431
6.0,3384,10161.412506
6.0,3545,10233.142856
5.0,3045,10293.205184
8.0,3847,10369.633452
4.0,3472,10437.121799
7.0,3177,10499.894683
7.0,3666,10572.520309
3.0,2417,10619.991239
7.0,3299,10684.707947
3.0,2144,10727.393288
2.0,1747,10761.972112
8.0,4107,10843.253984
17.0,6896,10981.209947
6.0,2878,11038.851877
4.0,2802,11094.450098
0.0,2663,11146.823258
10.0,3156,11210.988938
5.0,2906,11267.996233
2.0,1957,11307.079153
2.0,1608,11338.754365
17.0,6608,11472.476812
3.0,2498,11521.977693
4.0,2997,11580.416874
3.0,1629,11612.606108
4.0,2171,11655.609458
14.0,3747,11729.000293
4.0,1512,11759.052268
9.0,3406,11826.581308
4.0,2340,11873.125924
9.0,3720,11946.916474
8.0,2323,11993.555767
6.0,3309,12059.630072
7.0,3469,12127.63562
4.0,3353,12193.688444
7.0,3226,12257.604911
4.0,3493,12326.813492
2.0,1704,12360.232357
4.0,3727,12432.962973
1.0,2122,12475.218062
1.0,1034,12496.217122
9.0,3624,12567.70819
4.0,2337,12614.211936
4.0,1799,12650.194909
11.0,6708,12783.431866
1.0,1825,12819.915708
3.0,2141,12862.693298
4.0,2689,12916.624573
8.0,3124,12977.26387
13.0,4911,13073.060353
9.0,3735,13147.753362
9.0,3598,13218.376505
8.0,3583,13288.783908
8.0,4828,13383.76839
16.0,6999,13522.362149
2.0,1996,13561.613871
11.0,3443,13628.676733
11.0,3768,13703.309122
8.0,3115,13764.492418
6.0,4669,13858.071757
9.0,4019,13935.566597
7.0,2275,13980.571077
6.0,3602,14051.499885
2.0,3524,14121.718133
14.0,4996,14219.445725
