# {"t_start": 1564960580.0733657, "env_id": "RobotankNoFrameskip-v4"} 
r,l,t
2.0,1326,20.304491
0.0,1517,41.396963
2.0,3454,89.208025
0.0,2063,123.066205
2.0,2953,173.094177
0.0,1850,203.49744
3.0,3510,261.162014
2.0,1642,288.17751
2.0,3351,341.653393
1.0,1511,365.330219
2.0,1983,396.86012
3.0,3962,460.305691
4.0,2877,505.976853
4.0,2860,552.293119
2.0,3706,613.09586
2.0,2883,659.804378
4.0,2477,698.963759
2.0,1679,725.848231
2.0,1965,759.257127
1.0,2567,801.528062
3.0,2689,848.361779
0.0,2594,892.499731
7.0,3719,954.821492
3.0,2657,998.827529
8.0,3536,1058.33058
5.0,2946,1108.666166
3.0,3371,1166.350577
3.0,4318,1236.015804
6.0,2872,1281.684464
14.0,4827,1358.002739
3.0,4447,1429.930794
2.0,1944,1460.899531
18.0,5411,1546.47519
2.0,1358,1568.365889
4.0,3473,1624.363926
10.0,3474,1679.868605
7.0,3481,1735.229365
6.0,4334,1805.035859
11.0,3564,1862.19595
8.0,2941,1909.678377
4.0,2267,1946.261826
2.0,4349,2015.591035
8.0,2766,2060.204916
2.0,2529,2100.795622
4.0,2791,2145.139421
5.0,2907,2192.289581
2.0,2132,2227.754989
3.0,2447,2267.355215
1.0,1599,2292.803654
1.0,2257,2330.415646
0.0,1681,2361.281861
1.0,2949,2415.689491
6.0,2531,2464.088869
10.0,4268,2550.60274
1.0,1673,2585.809928
2.0,1899,2623.553891
2.0,1473,2653.84064
2.0,2195,2697.359483
0.0,1215,2722.215704
2.0,2390,2769.99643
2.0,1976,2810.014435
1.0,1172,2833.114387
3.0,1965,2872.915765
7.0,3135,2936.016436
1.0,2061,2977.570815
1.0,1999,3018.607587
1.0,1022,3039.187645
4.0,3369,3108.122521
4.0,3316,3175.371697
1.0,2993,3235.698878
4.0,1831,3273.109493
3.0,1598,3306.387357
2.0,2982,3367.091483
4.0,2439,3416.848676
3.0,2635,3471.29495
2.0,1655,3504.710127
3.0,2708,3560.262146
3.0,2385,3609.315857
1.0,2297,3656.81629
1.0,2907,3716.59129
3.0,1625,3750.392303
5.0,3311,3819.565792
2.0,2021,3861.324491
3.0,2718,3918.257344
2.0,4381,4005.151447
1.0,2652,4056.668259
0.0,1539,4086.950835
1.0,2452,4134.106102
1.0,1668,4166.694893
5.0,3354,4233.933457
2.0,2321,4280.885802
4.0,1883,4317.364452
2.0,1107,4339.295297
1.0,2207,4383.2823
2.0,3365,4449.67179
2.0,1640,4482.125004
0.0,1254,4507.540224
3.0,3497,4577.246124
1.0,1049,4598.898756
3.0,1490,4628.433859
5.0,2597,4680.358459
2.0,2345,4724.709524
1.0,1089,4745.451631
2.0,2424,4793.309609
5.0,3718,4867.387351
1.0,2587,4919.353458
3.0,2072,4959.874589
5.0,2567,5010.58314
3.0,1985,5050.350999
4.0,1463,5079.098741
4.0,3460,5147.37956
2.0,1711,5180.597889
0.0,1644,5212.701661
8.0,2646,5264.821804
4.0,1797,5300.745584
2.0,2597,5352.651975
4.0,2127,5394.602021
4.0,1935,5434.299241
1.0,2124,5476.689558
3.0,2318,5522.270428
1.0,1900,5558.991742
4.0,2603,5610.437997
2.0,1237,5635.43019
2.0,3103,5695.281694
5.0,2829,5751.323797
6.0,2740,5805.26298
1.0,1689,5838.470323
2.0,2346,5884.519374
4.0,2134,5927.421119
5.0,3397,5993.398027
2.0,1266,6017.910933
6.0,3588,6088.563462
4.0,1865,6125.41936
2.0,1881,6163.083886
4.0,2203,6206.202441
4.0,3596,6277.947609
2.0,1224,6302.291979
1.0,2714,6356.127709
3.0,2914,6414.367983
2.0,2206,6458.812227
3.0,1372,6486.19398
2.0,2765,6541.032438
3.0,3503,6608.316344
2.0,2243,6653.226088
3.0,3441,6721.418193
3.0,2572,6772.943949
2.0,2488,6823.195988
6.0,3383,6889.549304
4.0,3367,6955.927572
1.0,1816,6992.912172
1.0,1669,7026.605507
5.0,3861,7104.446118
7.0,3965,7182.940636
2.0,1713,7216.614354
4.0,2839,7272.157211
7.0,3011,7330.697517
5.0,2203,7373.953588
8.0,4069,7455.920183
7.0,2634,7508.310465
13.0,3968,7584.602155
17.0,4267,7668.741823
7.0,3030,7728.662382
8.0,3279,7792.882597
9.0,4623,7883.934218
4.0,2268,7928.258294
4.0,3085,7989.559373
4.0,1847,8027.563524
3.0,2443,8075.828529
7.0,2382,8122.62324
8.0,3151,8186.536839
9.0,3122,8249.240903
5.0,2076,8289.777674
8.0,3555,8359.096135
5.0,2553,8410.484568
4.0,2159,8452.213896
6.0,2576,8502.106112
18.0,6348,8626.578359
7.0,2606,8677.805126
15.0,5867,8793.339617
2.0,1487,8823.112525
5.0,2621,8874.852597
10.0,3870,8951.108258
9.0,2382,8997.666256
3.0,2277,9041.792104
8.0,3691,9114.985924
7.0,4188,9198.946505
8.0,3690,9271.561383
6.0,2165,9314.305993
7.0,3567,9385.596875
2.0,1275,9409.923762
11.0,3633,9483.100731
8.0,3775,9556.267978
15.0,5737,9669.709127
2.0,2310,9715.327187
7.0,3723,9789.512501
5.0,3764,9863.168496
8.0,3150,9925.624816
6.0,3635,9997.630914
13.0,5234,10100.724883
6.0,3602,10172.763673
5.0,4175,10256.701936
6.0,2307,10302.24956
6.0,1946,10341.541508
2.0,2166,10383.686805
1.0,2357,10428.861674
4.0,3745,10503.199654
9.0,3690,10576.229897
4.0,3415,10643.15936
3.0,2545,10693.914999
10.0,4768,10787.665987
9.0,4453,10876.883008
3.0,1903,10915.602452
3.0,2146,10957.583795
2.0,1851,10994.003495
2.0,2395,11042.450327
17.0,7286,11187.714767
2.0,1958,11226.83011
8.0,3979,11305.629809
2.0,1809,11341.373281
5.0,1496,11371.654611
5.0,1999,11411.917348
6.0,3364,11479.325654
5.0,3463,11547.793868
6.0,2499,11596.632973
8.0,3151,11658.982768
2.0,1273,11684.833974
13.0,4178,11766.468675
10.0,4278,11851.90203
3.0,1716,11885.350246
9.0,3781,11960.458346
6.0,3467,12029.787941
7.0,3309,12095.695589
5.0,2751,12150.002711
5.0,3317,12215.052198
4.0,3183,12278.055762
4.0,3026,12337.633722
7.0,3136,12399.239338
11.0,3364,12465.522838
4.0,2960,12524.435327
13.0,4179,12607.706079
8.0,4824,12703.102444
3.0,2105,12744.934356
5.0,3366,12812.7687
7.0,4274,12898.110738
15.0,5962,13014.660595
5.0,3090,13075.126024
3.0,1997,13115.120812
10.0,3717,13189.004462
1.0,2193,13231.640393
4.0,3848,13307.724669
12.0,4987,13404.985942
7.0,3483,13474.194671
13.0,6209,13596.460722
11.0,4312,13682.129425
9.0,3185,13743.979844
5.0,3280,13808.722729
8.0,6291,13932.928147
15.0,5517,14041.349735
11.0,4602,14132.367346
10.0,3397,14199.302181
7.0,3187,14261.596318
6.0,3683,14334.645948
6.0,2081,14376.2815
5.0,3353,14443.475992
7.0,2575,14495.40325
10.0,4579,14588.160704
5.0,1900,14626.176713
5.0,3348,14692.175123
5.0,1610,14724.526158
11.0,4596,14816.667094
0.0,1860,14853.070376
4.0,1962,14892.242179
4.0,3266,14956.230865
2.0,2333,15001.727905
10.0,3475,15070.507234
5.0,3347,15136.043824
8.0,3586,15207.127486
8.0,3624,15279.119537
7.0,3571,15349.029788
4.0,3652,15422.066735
12.0,5240,15527.221471
11.0,3718,15601.360085
4.0,2154,15643.462964
12.0,3154,15705.603381
5.0,3334,15770.531251
15.0,6888,15895.617891
10.0,3497,15958.74334
17.0,5065,16050.489936
14.0,6721,16172.87631
15.0,5124,16266.638706
3.0,3277,16325.190824
8.0,3820,16393.769597
9.0,5239,16488.153462
3.0,2158,16526.781175
14.0,5244,16621.719293
12.0,4032,16695.073137
8.0,3624,16759.761726
14.0,4751,16845.242002
8.0,3139,16902.152926
11.0,3002,16956.765879
10.0,3796,17025.01677
19.0,6672,17146.015373
26.0,7753,17286.973158
10.0,3203,17345.126679
4.0,2653,17393.320966
16.0,6442,17509.53002
8.0,3336,17570.527117
8.0,4758,17655.823587
19.0,4998,17744.943915
7.0,4662,17828.562031
14.0,4810,17915.872728
1.0,2232,17956.379374
4.0,3433,18017.996066
9.0,3357,18078.006036
16.0,5630,18178.976244
10.0,5036,18270.974619
5.0,4330,18348.668485
3.0,3631,18414.541792
2.0,2599,18460.159262
4.0,2059,18497.310822
10.0,4317,18574.878947
8.0,3184,18632.391388
2.0,1516,18660.20934
4.0,2301,18702.171574
2.0,2043,18739.688937
2.0,2672,18787.363897
9.0,3109,18844.275728
4.0,2318,18886.134598
6.0,2019,18922.644793
2.0,3423,18983.854427
15.0,7359,19115.221169
15.0,4499,19196.816466
5.0,3416,19257.21896
10.0,5296,19353.092087
14.0,3829,19421.943957
6.0,2111,19459.747956
11.0,3336,19519.809339
4.0,2171,19558.760542
8.0,5296,19655.593951
7.0,3145,19711.952215
4.0,1931,19746.331343
7.0,3628,19812.305818
10.0,4975,19902.676137
7.0,3801,19971.823277
17.0,6412,20087.741972
9.0,3583,20146.66545
9.0,3347,20200.559415
5.0,3630,20258.278027
8.0,3938,20319.632698
2.0,1553,20343.98122
9.0,4290,20412.609399
18.0,5280,20486.629875
9.0,3695,20536.385409
8.0,3154,20579.903738
13.0,4125,20636.421366
6.0,2575,20671.589349
3.0,2287,20703.33933
8.0,3097,20745.06898
9.0,4664,20807.624884
4.0,2205,20837.044034
8.0,3092,20878.897604
1.0,2062,20906.641126
7.0,3604,20956.082861
2.0,2175,20985.281192
17.0,4871,21050.348965
8.0,3480,21097.630969
9.0,3704,21148.753634
20.0,6609,21237.192973
9.0,4849,21302.862931
6.0,2186,21332.708188
2.0,2256,21363.857442
6.0,3087,21405.454774
10.0,3232,21448.532903
10.0,3472,21495.25935
8.0,3168,21537.387324
4.0,3155,21580.761245
5.0,1939,21606.411357
6.0,3230,21649.688743
6.0,3203,21693.02395
10.0,3408,21738.919828
4.0,3091,21780.771806
6.0,3183,21823.551649
9.0,3243,21866.913058
6.0,3431,21912.687061
3.0,3804,21964.305129
7.0,3192,22007.25768
9.0,4443,22067.676112
11.0,4989,22135.05517
3.0,1814,22153.324718
6.0,3754,22191.646496
6.0,3611,22228.232828
4.0,3143,22261.195406
6.0,2066,22282.588973
5.0,3441,22319.651121
3.0,3501,22356.595269
10.0,3421,22392.374305
5.0,3467,22427.77754
10.0,3839,22466.349393
6.0,3459,22501.585949
10.0,3531,22538.911312
7.0,3204,22573.035222
8.0,3276,22607.305413
