# {"t_start": 1564702267.8518562, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,127,3.022492
1.0,176,5.045431
0.0,129,6.427633
1.0,175,8.402612
0.0,127,9.795383
0.0,129,11.153742
2.0,200,13.511902
1.0,172,15.436074
2.0,206,17.723082
2.0,224,20.306538
3.0,250,23.174559
0.0,125,24.556193
0.0,127,25.951566
2.0,202,28.219633
2.0,225,30.832688
0.0,127,32.247805
0.0,127,33.629833
0.0,127,35.035628
1.0,153,36.783879
0.0,127,38.196786
3.0,270,41.39099
2.0,203,43.735567
1.0,157,45.523231
2.0,202,47.812321
5.0,350,52.001085
0.0,127,53.424053
0.0,127,54.865582
2.0,200,57.134463
0.0,129,58.565694
0.0,127,59.995548
0.0,127,61.396471
0.0,127,62.759302
5.0,350,66.961709
0.0,129,68.402619
10.0,435,73.419589
2.0,205,75.696829
1.0,157,77.435209
0.0,129,78.807976
0.0,127,80.17637
5.0,350,84.238307
0.0,129,85.692212
4.0,297,89.121181
0.0,123,90.411915
0.0,127,91.805276
0.0,127,93.180318
0.0,127,94.580274
1.0,157,96.285607
1.0,157,98.009125
3.0,268,101.088163
0.0,127,102.428176
8.0,454,107.77444
2.0,185,109.782502
0.0,129,111.166974
5.0,350,115.229778
4.0,286,118.671162
4.0,277,123.064268
0.0,127,124.715171
2.0,220,127.707545
0.0,129,129.408341
4.0,257,133.018133
1.0,173,135.359974
11.0,474,142.296758
0.0,127,143.998924
4.0,318,148.724473
0.0,127,150.312606
0.0,127,152.011271
2.0,185,154.54721
0.0,129,156.331252
3.0,232,159.614536
6.0,397,165.280749
1.0,155,167.444077
10.0,450,173.8778
7.0,250,177.30635
4.0,325,182.041253
4.0,295,186.250519
3.0,256,190.000147
3.0,214,193.034143
8.0,372,198.261164
4.0,278,202.1601
7.0,448,208.683583
4.0,284,212.924547
13.0,478,220.108318
6.0,305,224.526919
10.0,449,230.825465
4.0,265,234.638064
5.0,311,239.290156
15.0,656,248.83676
16.0,671,258.350324
5.0,331,263.003765
7.0,372,268.214041
17.0,733,278.572491
23.0,768,289.469416
11.0,544,297.298455
14.0,529,304.745089
19.0,696,314.858548
10.0,484,321.686315
10.0,540,329.439936
12.0,548,337.087481
12.0,320,341.553596
16.0,583,349.907325
16.0,706,360.26705
17.0,665,370.393487
17.0,714,381.986485
31.0,791,394.49736
10.0,526,402.44039
26.0,767,415.200995
20.0,743,427.063195
19.0,584,436.232894
20.0,644,446.400653
8.0,441,453.639783
23.0,824,466.664879
16.0,629,476.604237
28.0,903,490.853991
15.0,612,500.487003
29.0,903,515.554025
46.0,1264,533.935036
13.0,604,543.245426
14.0,550,550.885772
25.0,769,561.771986
29.0,873,574.188647
37.0,1140,591.255542
30.0,952,605.101552
21.0,629,613.852544
18.0,719,624.04641
14.0,553,631.721844
25.0,771,643.886533
37.0,732,655.023059
19.0,575,663.55365
55.0,1127,680.25891
43.0,887,692.674825
43.0,1141,709.302003
264.0,1681,733.437989
45.0,894,745.836388
55.0,1277,766.127574
43.0,844,778.828595
37.0,1042,794.774343
39.0,868,807.381974
44.0,1032,822.278681
34.0,1057,838.610644
45.0,1078,854.448291
84.0,1245,873.339299
51.0,1133,889.25728
62.0,1041,903.903944
79.0,1466,924.734877
57.0,1316,943.290257
60.0,1293,963.998239
71.0,1210,982.243099
36.0,852,994.580946
26.0,739,1005.818108
98.0,1530,1028.406857
71.0,1261,1046.969185
110.0,1633,1070.103452
64.0,1489,1091.155472
42.0,986,1105.126139
54.0,1066,1120.690809
58.0,1097,1136.176255
86.0,1434,1156.119512
48.0,1084,1171.34504
188.0,739,1181.62008
44.0,1039,1195.902241
49.0,1095,1211.018186
18.0,654,1220.163959
66.0,1319,1238.825175
64.0,1096,1254.559252
224.0,1989,1282.624724
111.0,1228,1299.649221
177.0,1203,1316.510942
117.0,1586,1338.98089
265.0,1088,1354.883384
116.0,1423,1376.139986
44.0,794,1387.075632
66.0,1077,1402.023823
18.0,493,1408.941044
88.0,1406,1428.738821
74.0,1325,1448.329198
187.0,1812,1474.365207
18.0,635,1483.639035
171.0,1256,1501.330436
96.0,1581,1523.633704
46.0,864,1535.85034
86.0,1334,1555.000055
249.0,1538,1578.887207
152.0,1262,1598.71321
67.0,1124,1615.947248
141.0,1614,1639.885787
291.0,1684,1664.421658
137.0,1062,1679.726447
131.0,1676,1704.407086
62.0,915,1717.533578
116.0,1448,1738.405936
231.0,1303,1757.587999
165.0,1316,1776.841885
98.0,1273,1795.480666
124.0,1355,1814.855141
94.0,1577,1836.896048
44.0,943,1850.2402
218.0,1925,1877.119183
114.0,1590,1899.576346
49.0,1067,1914.568118
294.0,2019,1944.426466
199.0,1705,1968.754244
122.0,1588,1994.678022
227.0,1873,2037.684263
309.0,1689,2062.018542
242.0,2011,2091.094118
192.0,1567,2113.848664
324.0,1619,2137.093319
232.0,1581,2159.282606
260.0,1908,2195.180198
53.0,1082,2221.495934
304.0,2101,2273.218284
233.0,1733,2316.080605
313.0,1645,2356.458074
65.0,799,2375.900094
138.0,1444,2411.328722
194.0,1675,2452.229047
255.0,2137,2504.697173
338.0,1538,2542.096405
40.0,658,2557.897474
37.0,697,2574.610802
378.0,2044,2624.681878
10.0,476,2636.169906
168.0,1965,2684.393136
153.0,1518,2721.524604
91.0,1346,2753.023575
37.0,965,2776.446406
250.0,1622,2816.341374
112.0,1432,2851.154647
317.0,1648,2890.486126
371.0,1772,2933.790192
151.0,1539,2970.419189
354.0,1983,3018.831168
335.0,1796,3062.286618
282.0,1737,3104.852949
11.0,524,3117.643368
54.0,1138,3145.542807
116.0,1610,3185.03917
359.0,1967,3233.359916
374.0,2053,3283.678743
350.0,1859,3328.987618
166.0,1536,3367.18145
392.0,2259,3421.796389
187.0,1110,3448.947452
351.0,1917,3495.466665
308.0,1964,3543.966129
240.0,1866,3589.980077
350.0,1942,3636.863455
363.0,1596,3676.012163
352.0,2034,3726.125386
361.0,2191,3778.920501
340.0,1818,3823.05289
43.0,1182,3852.061463
1.0,175,3856.116904
5.0,284,3862.562689
275.0,1816,3907.055192
398.0,1963,3955.411079
408.0,2059,4006.748525
22.0,642,4022.301728
17.0,665,4038.326258
5.0,297,4045.896808
311.0,1721,4087.032392
100.0,1185,4114.875797
112.0,1358,4147.809285
276.0,1776,4191.438416
270.0,1925,4238.854177
212.0,1635,4279.202207
376.0,1699,4319.648596
250.0,2025,4357.469869
341.0,1887,4392.438227
382.0,2192,4433.457336
388.0,2356,4477.482193
132.0,1640,4507.791071
388.0,2523,4555.15505
260.0,1488,4582.868068
46.0,853,4598.646919
103.0,1495,4626.895704
352.0,1727,4659.436551
411.0,2451,4704.885004
373.0,1985,4741.700349
399.0,2611,4790.107609
325.0,1777,4823.221544
193.0,1530,4851.750114
400.0,2037,4889.451882
143.0,1339,4914.535699
292.0,1949,4951.271571
348.0,1709,4983.21997
300.0,2039,5020.969957
414.0,2312,5065.000555
318.0,1995,5102.207856
374.0,1967,5139.425354
308.0,1961,5175.643479
150.0,1513,5203.895667
18.0,583,5214.822113
0.0,129,5217.252158
0.0,129,5219.627591
15.0,670,5232.357526
302.0,1723,5264.432474
303.0,1874,5299.789921
358.0,2027,5337.618705
413.0,2241,5379.064023
354.0,1923,5414.677832
418.0,2986,5470.937159
394.0,2230,5512.412756
381.0,2098,5551.730927
266.0,1788,5585.052979
371.0,2419,5629.877875
371.0,2653,5679.335461
192.0,1954,5716.20123
413.0,2536,5763.706071
44.0,956,5781.439398
5.0,311,5787.2427
19.0,756,5801.526519
3.0,237,5806.096262
1.0,155,5808.922933
1.0,175,5812.101965
136.0,1684,5843.789697
388.0,2135,5884.397023
281.0,1741,5916.953669
407.0,2503,5963.710344
357.0,1771,5996.74405
249.0,1609,6026.488846
407.0,1821,6060.548959
57.0,1339,6085.239713
