# {"t_start": 1564702268.2499714, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,155,2.964118
0.0,129,4.403896
1.0,155,6.12522
0.0,129,7.530727
1.0,176,9.511687
3.0,250,12.391502
0.0,129,13.825073
2.0,203,16.125291
2.0,224,18.682704
3.0,234,21.334291
1.0,155,23.068722
3.0,272,26.248368
1.0,151,27.913208
0.0,129,29.3394
1.0,155,31.082035
0.0,127,32.493379
3.0,248,35.416243
2.0,200,37.727216
0.0,129,39.141959
1.0,175,41.163626
2.0,200,43.494115
5.0,350,47.620697
0.0,127,49.005579
1.0,157,50.740358
0.0,127,52.231339
6.0,396,57.007325
2.0,202,59.332173
0.0,127,60.754418
0.0,129,62.143094
1.0,178,64.179521
0.0,125,65.576628
0.0,125,66.946231
4.0,318,70.617512
5.0,350,74.613316
0.0,129,75.990268
3.0,246,78.799789
0.0,129,80.20858
4.0,297,83.625571
0.0,129,85.059095
0.0,123,86.382197
3.0,248,89.202284
1.0,157,90.916783
1.0,155,92.669189
0.0,127,94.072165
0.0,125,95.391152
9.0,380,99.835075
6.0,378,104.199683
1.0,173,106.151761
4.0,297,109.524805
0.0,129,110.894463
0.0,129,112.301242
4.0,297,115.689459
4.0,297,120.000462
1.0,155,122.079325
1.0,159,124.20244
0.0,127,125.848649
3.0,233,129.089038
3.0,230,132.275173
0.0,129,134.000925
3.0,216,137.002484
2.0,183,139.536099
1.0,155,141.676089
4.0,280,145.721563
3.0,236,149.134289
0.0,129,150.793526
1.0,155,152.854638
0.0,129,154.613281
1.0,178,157.137438
2.0,202,159.952581
3.0,255,163.547383
10.0,454,170.037016
4.0,276,173.967925
6.0,343,178.811617
12.0,520,186.475948
3.0,274,190.484855
5.0,320,195.045164
2.0,205,197.794684
4.0,276,201.673427
2.0,202,204.56791
0.0,129,206.286442
14.0,610,215.454203
5.0,300,219.875311
5.0,308,224.338398
11.0,271,227.999555
16.0,579,236.593817
14.0,663,246.408875
16.0,463,252.841472
4.0,267,256.584615
10.0,396,262.158404
10.0,463,268.703088
10.0,543,276.288524
12.0,431,282.400319
16.0,583,290.522699
10.0,456,297.127775
20.0,451,303.3991
10.0,465,310.048454
16.0,532,317.756038
8.0,450,324.075507
16.0,628,333.048702
12.0,484,339.807111
13.0,548,347.696326
18.0,618,356.521266
12.0,582,365.453645
9.0,433,371.818318
29.0,855,385.764248
15.0,619,395.423979
12.0,605,405.151059
26.0,1080,422.68019
13.0,481,430.26926
13.0,641,440.221117
19.0,572,449.413265
3.0,254,453.553068
22.0,822,466.528834
8.0,455,473.633268
17.0,501,481.565068
27.0,906,495.821848
22.0,896,510.598838
13.0,627,520.349114
13.0,628,529.14854
15.0,630,538.761923
52.0,1377,558.467926
31.0,759,569.169182
28.0,695,579.968109
47.0,1110,595.730885
16.0,717,606.22854
39.0,1108,621.972784
48.0,1174,638.610514
21.0,739,650.802773
24.0,689,661.095266
31.0,673,670.862692
53.0,1352,690.453574
55.0,1134,707.003617
26.0,805,718.515758
53.0,876,730.9631
31.0,800,741.999627
53.0,1308,762.623803
49.0,1136,779.66848
32.0,902,793.537657
25.0,980,807.735364
41.0,1078,823.47965
50.0,1219,842.018726
43.0,997,856.879936
69.0,1426,878.262516
31.0,1023,892.325726
44.0,893,905.038476
39.0,1086,920.486484
59.0,1251,938.008205
61.0,941,952.596725
47.0,899,966.601102
37.0,660,976.514295
127.0,1466,998.21423
48.0,748,1009.519201
55.0,1238,1027.568053
16.0,529,1035.56985
39.0,771,1046.536009
88.0,1318,1065.174384
57.0,1416,1085.244925
42.0,1282,1103.368067
20.0,552,1111.495075
74.0,1428,1131.683005
86.0,1473,1152.3915
31.0,772,1163.063335
77.0,1141,1179.133148
63.0,1246,1196.384148
240.0,1458,1216.641494
60.0,1350,1235.704165
51.0,1066,1251.077865
127.0,1714,1275.160049
293.0,1481,1295.941153
49.0,1119,1311.511097
93.0,1381,1330.805784
112.0,1354,1350.737566
47.0,1069,1367.068227
47.0,1055,1381.680494
63.0,1323,1400.060698
6.0,349,1404.875263
55.0,1276,1422.738104
77.0,1318,1442.076133
108.0,1503,1463.689339
69.0,1150,1480.415891
76.0,1036,1495.101277
39.0,1087,1510.240671
83.0,1341,1529.401686
78.0,1000,1543.617153
263.0,1459,1564.927274
234.0,2086,1598.158919
49.0,935,1612.6106
105.0,1315,1632.062035
275.0,1972,1660.881114
118.0,1543,1683.156971
148.0,1778,1709.681971
122.0,1322,1728.350581
128.0,1620,1752.361349
212.0,1925,1780.465077
367.0,1967,1809.041523
288.0,1665,1832.487822
103.0,1673,1856.030508
173.0,1558,1877.802872
92.0,1506,1899.058637
221.0,1918,1926.713991
331.0,1881,1954.360727
239.0,1627,1977.800916
390.0,1783,2014.833471
117.0,1457,2043.282829
222.0,1717,2068.151616
231.0,1543,2090.212115
311.0,1927,2118.141058
140.0,1507,2139.708272
282.0,1585,2162.022374
144.0,1657,2193.985956
38.0,1076,2220.051924
184.0,1064,2246.370648
303.0,1754,2289.518377
152.0,1218,2319.474115
208.0,1624,2359.21707
179.0,1684,2400.35878
173.0,1280,2431.964963
66.0,1091,2458.34647
287.0,1666,2499.33986
353.0,1769,2542.299495
234.0,1510,2578.820978
207.0,2190,2632.609043
112.0,1316,2665.038459
362.0,1809,2709.466631
211.0,1724,2750.190838
75.0,1155,2778.137966
336.0,2285,2834.223038
310.0,1566,2872.270196
399.0,2294,2927.952146
283.0,2002,2975.474409
351.0,1720,3017.772198
393.0,2397,3076.255995
275.0,1606,3115.594183
0.0,129,3118.464159
230.0,1685,3159.849077
133.0,1637,3199.792215
331.0,1946,3248.248752
310.0,1589,3286.897071
207.0,1458,3321.973705
230.0,1962,3370.694581
264.0,1824,3414.99677
75.0,1446,3449.96438
204.0,1883,3495.805916
255.0,2027,3545.865122
420.0,2562,3608.670326
335.0,2061,3658.547823
320.0,1767,3702.277853
353.0,1780,3745.548261
255.0,1481,3781.314668
204.0,1618,3820.737377
45.0,1238,3850.855946
3.0,228,3856.367573
4.0,253,3861.986062
87.0,1455,3897.736035
336.0,1859,3943.147074
75.0,1150,3971.522086
286.0,1696,4013.71108
59.0,975,4037.485318
4.0,295,4044.942225
254.0,2058,4094.152093
235.0,2027,4142.883656
341.0,1633,4182.849019
370.0,2112,4235.023729
161.0,1516,4272.216168
4.0,257,4278.368445
170.0,1651,4317.990087
270.0,1684,4349.31762
366.0,1807,4383.026343
201.0,1734,4415.258132
185.0,1885,4450.57269
401.0,2157,4490.626042
204.0,1697,4522.107534
228.0,1426,4548.909696
368.0,1712,4580.857412
302.0,1637,4611.282826
346.0,1663,4642.908492
103.0,1419,4669.554348
410.0,2780,4721.113683
425.0,3590,4787.701596
36.0,978,4805.677136
285.0,1812,4839.728631
400.0,2547,4886.900727
319.0,1333,4911.866956
69.0,1064,4931.870512
343.0,2046,4970.140154
312.0,2021,5007.807136
342.0,2013,5045.951067
393.0,2050,5084.397309
179.0,1802,5118.310547
365.0,1947,5154.526827
95.0,1157,5175.901781
230.0,1331,5200.65499
25.0,687,5213.544025
0.0,129,5215.935516
0.0,129,5218.359866
2.0,224,5222.492623
35.0,996,5241.233738
375.0,2598,5290.177265
334.0,2086,5329.124447
424.0,2706,5379.258206
410.0,2368,5423.115654
404.0,2142,5463.754869
376.0,2256,5505.551376
419.0,2869,5559.324659
399.0,2033,5596.868385
414.0,2618,5646.107787
432.0,2364,5690.061752
115.0,1385,5716.097983
362.0,2696,5766.590878
41.0,748,5780.396433
0.0,129,5782.683257
26.0,814,5798.003834
1.0,178,5801.268934
3.0,216,5805.38222
0.0,129,5807.706888
0.0,125,5809.902782
