# {"t_start": 1564702267.8259466, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,172,3.612104
4.0,279,6.875411
2.0,219,9.387585
2.0,202,11.631079
0.0,129,13.104542
0.0,127,14.504707
0.0,127,15.876305
2.0,190,17.980697
2.0,224,20.54302
0.0,127,21.921488
0.0,127,23.304175
0.0,129,24.738646
5.0,352,28.856652
3.0,248,31.754281
3.0,270,34.922089
0.0,127,36.366985
0.0,129,37.790315
3.0,234,40.549313
0.0,125,41.928446
0.0,129,43.356334
2.0,217,45.884119
2.0,202,48.169721
5.0,350,52.351574
2.0,202,54.728878
0.0,129,56.154287
4.0,297,59.65448
0.0,127,61.0926
0.0,125,62.428452
4.0,297,65.959838
2.0,204,68.320925
0.0,125,69.680101
0.0,127,70.989514
0.0,127,72.33828
2.0,202,74.590125
0.0,125,75.923269
0.0,125,77.25665
9.0,404,81.952177
0.0,129,83.362127
11.0,484,89.103611
4.0,296,92.501688
8.0,350,96.59901
0.0,127,97.959555
0.0,129,99.387034
1.0,175,101.295195
1.0,155,102.988582
3.0,251,105.869066
0.0,127,107.260545
2.0,201,109.44088
5.0,350,113.509928
5.0,372,117.901459
1.0,155,120.40461
5.0,350,125.335534
2.0,200,128.057855
5.0,352,133.073742
9.0,475,139.951652
4.0,245,143.471892
0.0,129,145.198642
4.0,297,149.54996
10.0,434,155.786838
1.0,176,158.250224
5.0,333,162.985871
7.0,378,168.460369
2.0,203,171.206059
5.0,346,176.107077
7.0,429,182.372861
5.0,317,186.949361
2.0,185,189.536021
6.0,400,195.369168
17.0,597,203.933643
4.0,261,207.728124
13.0,579,216.391529
8.0,298,220.81426
10.0,391,226.429474
6.0,384,231.876047
5.0,348,237.017688
5.0,346,242.01507
8.0,449,248.57534
19.0,724,258.831215
15.0,558,266.809541
11.0,500,273.841549
19.0,736,284.288388
11.0,502,291.239033
11.0,593,299.824108
4.0,280,303.613656
14.0,545,311.468636
12.0,539,319.23908
8.0,433,325.335337
13.0,622,334.176215
17.0,492,341.093718
16.0,760,351.991679
21.0,665,361.842729
12.0,306,366.509531
23.0,688,377.133287
9.0,434,383.99421
34.0,934,398.764143
13.0,636,409.370357
19.0,746,421.21507
18.0,694,432.271023
17.0,744,443.91977
11.0,551,452.967037
4.0,305,457.793639
23.0,771,469.91477
32.0,927,484.64356
19.0,828,497.649951
23.0,637,507.952451
14.0,624,518.293728
33.0,1052,533.257659
17.0,366,538.962327
28.0,892,551.718637
25.0,827,563.429928
62.0,1324,583.30269
11.0,456,589.657709
32.0,923,602.969249
50.0,1290,621.377551
43.0,1154,637.689746
42.0,1154,656.195793
37.0,952,670.316443
36.0,1109,686.462667
39.0,1150,703.384934
39.0,1191,720.182104
36.0,1045,735.053292
41.0,1157,751.69877
46.0,1102,769.286316
29.0,593,778.095301
40.0,1195,796.252221
39.0,914,809.534734
57.0,1143,826.314633
28.0,778,838.343103
24.0,683,848.100362
29.0,949,862.41305
57.0,1055,878.238135
73.0,1625,900.944652
86.0,1429,921.383271
97.0,1366,940.564626
66.0,1261,960.488573
30.0,692,971.042945
93.0,1732,996.834747
22.0,789,1008.742001
43.0,1023,1023.60333
18.0,629,1033.198571
49.0,1066,1048.420293
58.0,1064,1063.480377
61.0,1444,1083.943261
96.0,1526,1105.580037
26.0,792,1117.22042
65.0,1129,1132.98691
99.0,1484,1153.853592
32.0,807,1165.14357
54.0,1040,1179.685642
46.0,860,1191.48691
21.0,744,1201.74691
128.0,1790,1226.781019
52.0,1172,1243.436897
66.0,1489,1264.682547
72.0,1446,1285.072011
32.0,892,1297.353076
79.0,1187,1313.962198
125.0,1423,1333.724231
61.0,1188,1351.39479
51.0,1208,1369.695988
78.0,1516,1390.801008
36.0,1029,1405.10592
105.0,1581,1427.375279
55.0,1210,1445.30955
28.0,495,1452.260119
151.0,1684,1476.621802
9.0,412,1482.555687
104.0,1259,1500.266329
72.0,1343,1519.119967
64.0,857,1531.37309
147.0,1688,1555.575311
101.0,1312,1575.761188
107.0,1661,1601.953384
57.0,1133,1619.189347
316.0,1690,1644.214006
124.0,1333,1663.619418
166.0,1542,1685.839043
43.0,1046,1701.232445
236.0,1886,1728.542377
85.0,1113,1744.954021
89.0,1232,1762.863353
144.0,1583,1786.188586
301.0,1760,1811.587984
192.0,1661,1834.886312
175.0,1506,1856.109548
163.0,1696,1879.813211
91.0,1345,1898.793646
117.0,1644,1922.353669
222.0,1932,1950.882936
160.0,1808,1976.616878
238.0,1676,2010.089105
111.0,1629,2043.312484
201.0,1562,2065.822959
380.0,1937,2093.928705
249.0,1265,2112.061966
338.0,1805,2138.033184
257.0,1775,2163.202686
241.0,1657,2195.374968
47.0,1038,2220.518737
55.0,1165,2249.216263
234.0,1733,2292.108416
207.0,2178,2345.795116
192.0,1735,2388.070984
128.0,1455,2424.040825
53.0,1135,2451.455336
308.0,1573,2490.085912
156.0,1714,2532.018698
408.0,2252,2586.859801
278.0,1693,2627.890728
43.0,1129,2655.57802
275.0,1607,2695.238705
78.0,1349,2727.734025
76.0,1331,2759.429294
225.0,1767,2802.699513
167.0,1628,2842.048326
314.0,1820,2886.070138
228.0,2048,2935.848932
240.0,1939,2981.991781
259.0,1532,3019.752796
295.0,1833,3064.147998
352.0,1351,3097.414019
139.0,1507,3134.602893
365.0,1807,3178.70593
269.0,1528,3216.265264
326.0,1971,3264.767779
293.0,1908,3311.076944
218.0,1408,3345.468686
95.0,1281,3377.262623
39.0,1070,3402.93083
358.0,2025,3452.273904
361.0,2037,3501.937891
120.0,1594,3541.02676
392.0,2042,3591.639871
322.0,2021,3640.269233
102.0,1339,3673.003714
258.0,2081,3724.561517
403.0,1994,3772.327876
117.0,1300,3803.830903
291.0,1988,3852.703841
0.0,127,3855.425246
13.0,582,3869.421511
59.0,958,3892.751278
349.0,1956,3940.666104
286.0,1517,3978.243235
134.0,1532,4016.198324
26.0,959,4039.666955
118.0,1330,4071.702927
363.0,2385,4128.915767
122.0,1518,4166.147162
175.0,1655,4206.463136
312.0,1556,4244.945359
136.0,1679,4286.39388
316.0,2009,4330.865294
77.0,1243,4354.037698
360.0,1708,4385.758687
358.0,1733,4417.865375
262.0,1641,4448.712888
398.0,1885,4483.789224
378.0,2551,4531.234144
318.0,2055,4570.086943
149.0,1554,4598.805726
34.0,1066,4618.748278
411.0,2480,4665.788969
400.0,2591,4713.706388
367.0,1939,4749.741545
366.0,2191,4790.227211
332.0,1678,4821.396776
317.0,1943,4857.917956
140.0,1751,4890.053139
265.0,1620,4920.549587
326.0,1899,4956.249117
304.0,2310,4999.225499
405.0,1946,5036.205889
137.0,1603,5066.212981
375.0,2289,5109.068717
432.0,2318,5152.51276
141.0,1669,5183.428064
120.0,1642,5214.348115
0.0,129,5216.76164
3.0,216,5220.905318
2.0,222,5224.98521
380.0,1999,5262.420898
142.0,1615,5292.920588
316.0,2082,5331.787156
431.0,3052,5388.247003
312.0,1976,5424.93505
412.0,2316,5468.791518
425.0,2620,5517.570121
400.0,2584,5565.997106
352.0,1918,5601.411041
284.0,1836,5635.806192
343.0,2328,5678.955075
371.0,2115,5718.89021
329.0,2041,5757.131258
76.0,1073,5777.020325
6.0,334,5783.081612
21.0,739,5796.876675
5.0,345,5803.527936
1.0,175,5806.802388
1.0,155,5809.687099
2.0,203,5813.358393
103.0,1321,5838.166751
150.0,1537,5867.331486
372.0,1748,5899.98494
366.0,2756,5951.892881
380.0,1831,5985.978516
300.0,2431,6031.176619
319.0,1757,6063.89169
397.0,2332,6107.361457
306.0,1820,6141.572326
404.0,2158,6181.880976
423.0,2411,6227.237745
428.0,3927,6301.092671
367.0,1695,6332.632659
391.0,2043,6370.6019
412.0,2327,6413.814489
410.0,2095,6453.175921
242.0,1788,6486.762565
319.0,1757,6519.452557
389.0,2129,6559.477141
32.0,799,6574.176256
111.0,1205,6597.122371
413.0,2126,6636.588966
158.0,1650,6667.33658
379.0,2081,6705.75421
386.0,1720,6737.829685
414.0,2746,6788.868636
360.0,2156,6829.27556
307.0,2113,6869.043491
222.0,1688,6900.697702
296.0,1819,6934.732616
325.0,1259,6958.235184
369.0,2262,7000.395504
271.0,1562,7029.519725
294.0,1688,7062.060961
382.0,2142,7101.933346
403.0,2625,7151.379878
22.0,816,7166.73647
330.0,1795,7200.269862
378.0,2205,7241.685438
185.0,1844,7276.097011
316.0,1620,7306.497495
262.0,1866,7341.095434
411.0,2229,7383.046248
347.0,2002,7420.750511
388.0,2208,7461.788011
395.0,2161,7502.144998
428.0,2630,7550.984063
141.0,1209,7572.890226
343.0,1972,7609.746786
391.0,2645,7659.474577
18.0,653,7671.556092
