# {"t_start": 1564962898.1874163, "env_id": "AlienNoFrameskip-v4"} 
r,l,t
400.0,592,19.870134
290.0,643,39.563933
330.0,841,65.633036
320.0,797,90.552076
530.0,835,116.566921
210.0,531,135.033531
190.0,509,152.450418
340.0,821,180.403879
230.0,686,204.502465
360.0,667,226.879431
420.0,730,252.335176
190.0,594,272.77764
360.0,760,299.697813
160.0,458,315.817411
310.0,690,340.512885
380.0,1050,377.053544
150.0,564,397.621829
300.0,592,417.434666
280.0,665,440.677792
330.0,627,462.736326
240.0,642,484.303924
950.0,888,514.533726
320.0,538,532.682411
350.0,609,554.936336
320.0,600,576.226439
470.0,898,608.456905
370.0,600,629.709575
360.0,533,648.399924
320.0,594,669.469254
250.0,498,686.920346
350.0,801,715.156108
310.0,651,736.868138
280.0,540,755.584928
290.0,548,774.537425
310.0,553,794.382056
450.0,708,818.952638
330.0,438,833.675858
230.0,504,851.184058
340.0,629,874.429693
360.0,706,898.560297
340.0,418,913.348351
220.0,687,937.457548
240.0,648,960.27942
380.0,726,985.862146
160.0,523,1004.060651
270.0,387,1017.545328
290.0,862,1047.473643
360.0,650,1070.245578
220.0,526,1089.010334
390.0,568,1108.904996
370.0,782,1135.866802
340.0,603,1158.033081
260.0,495,1174.978591
300.0,538,1193.675297
320.0,559,1212.733874
330.0,639,1234.663656
280.0,571,1254.100225
370.0,717,1278.532092
260.0,441,1293.247201
330.0,587,1314.124741
860.0,771,1341.516631
300.0,398,1355.358718
290.0,447,1371.417568
390.0,713,1397.144848
290.0,457,1413.375068
230.0,476,1429.722541
310.0,558,1449.940285
310.0,673,1474.596315
320.0,569,1494.134378
400.0,656,1516.588681
400.0,686,1541.416665
440.0,1021,1576.638313
430.0,814,1605.513569
370.0,539,1624.349633
450.0,696,1648.653013
320.0,632,1671.061597
370.0,495,1687.993125
410.0,477,1703.992904
310.0,700,1729.464409
290.0,449,1744.812499
210.0,407,1758.402615
350.0,375,1771.95586
480.0,482,1788.995894
460.0,607,1809.360899
360.0,600,1830.748548
450.0,709,1855.471832
370.0,644,1877.009159
370.0,454,1893.290819
400.0,463,1909.565955
370.0,451,1924.630116
480.0,514,1943.147924
310.0,624,1965.236424
330.0,392,1978.313936
340.0,531,1996.726471
370.0,628,2017.654442
390.0,714,2042.173629
340.0,596,2063.232166
410.0,644,2085.631323
630.0,747,2111.176484
350.0,504,2128.959788
350.0,608,2150.77895
