# {"t_start": 1564962898.2045653, "env_id": "AlienNoFrameskip-v4"} 
r,l,t
340.0,594,19.955129
310.0,639,39.459016
400.0,954,69.150897
340.0,533,85.253214
410.0,740,108.764551
270.0,991,142.293521
210.0,542,160.864284
200.0,568,180.060895
250.0,449,195.506129
290.0,733,221.246684
220.0,501,237.720916
330.0,844,267.402794
250.0,480,284.075084
250.0,558,303.820536
180.0,517,321.586656
370.0,865,352.360236
240.0,660,375.442498
290.0,517,394.113373
340.0,643,416.124243
490.0,931,448.657179
380.0,701,473.103908
250.0,526,490.712415
310.0,738,515.695873
340.0,664,538.667486
310.0,650,562.300801
310.0,532,580.785375
900.0,899,613.176152
290.0,652,636.520487
300.0,333,647.883968
270.0,640,670.699605
380.0,490,687.770242
280.0,737,713.641632
410.0,721,737.93304
400.0,666,761.440645
350.0,589,782.117705
330.0,514,799.896165
300.0,364,812.311346
240.0,533,830.282084
280.0,475,846.537048
240.0,385,860.546271
210.0,581,881.821957
270.0,550,900.536695
290.0,599,922.037336
230.0,525,940.180417
250.0,654,963.153264
230.0,493,979.934281
270.0,505,997.872028
350.0,568,1017.792248
380.0,795,1045.622613
320.0,469,1061.988595
360.0,699,1086.368769
420.0,515,1104.567151
450.0,736,1129.970888
410.0,868,1161.450292
500.0,869,1191.673076
200.0,445,1206.263095
360.0,505,1224.061162
210.0,641,1246.1913
320.0,500,1263.266742
370.0,602,1283.275515
320.0,505,1300.150179
240.0,514,1319.084911
170.0,528,1337.485351
450.0,558,1357.26406
230.0,556,1377.237192
330.0,767,1404.365017
350.0,770,1431.587531
400.0,896,1464.78718
230.0,490,1482.163212
330.0,479,1497.97602
300.0,474,1514.569413
240.0,492,1531.844061
420.0,415,1547.302527
330.0,441,1562.151928
360.0,519,1579.656359
390.0,758,1606.478782
360.0,479,1623.16062
350.0,490,1640.400264
350.0,815,1669.105793
250.0,401,1682.916605
400.0,734,1707.474721
390.0,583,1729.112551
400.0,592,1749.438961
420.0,656,1772.616744
400.0,595,1793.233145
480.0,652,1815.853193
510.0,692,1840.339981
410.0,712,1864.641167
450.0,583,1884.513638
440.0,478,1901.934956
540.0,594,1922.001597
500.0,629,1944.710619
410.0,551,1963.829281
380.0,471,1979.538948
370.0,530,1998.236115
340.0,591,2017.770469
340.0,480,2034.190091
320.0,439,2049.314134
550.0,874,2080.013607
470.0,731,2105.5581
300.0,381,2118.474087
380.0,468,2134.643267
380.0,697,2159.256752
1000.0,807,2187.093735
470.0,776,2213.350594
210.0,546,2232.052387
630.0,636,2254.005599
420.0,603,2275.670832
1050.0,820,2304.413915
490.0,467,2319.950159
420.0,412,2333.650411
430.0,435,2348.189525
500.0,527,2366.377888
370.0,492,2383.077302
490.0,560,2402.379202
1080.0,712,2427.904398
400.0,384,2441.590547
400.0,469,2457.543429
510.0,725,2482.569805
420.0,427,2497.613655
410.0,447,2513.095859
390.0,537,2531.367303
480.0,567,2550.460735
530.0,660,2572.420337
350.0,430,2587.818813
940.0,751,2614.227858
480.0,594,2635.009511
450.0,732,2660.113689
520.0,652,2682.889766
980.0,480,2699.117232
620.0,651,2721.488043
410.0,442,2736.848484
370.0,409,2750.974145
550.0,646,2773.327127
600.0,676,2795.90044
540.0,609,2816.852527
370.0,449,2832.426006
530.0,506,2849.365182
460.0,675,2873.758877
280.0,646,2896.158573
520.0,645,2919.182551
430.0,464,2934.856562
370.0,768,2960.527097
560.0,571,2980.490619
580.0,955,3013.346005
460.0,531,3031.122126
520.0,570,3050.148758
500.0,623,3071.301682
540.0,475,3087.420525
1010.0,716,3113.105938
2060.0,863,3143.881635
560.0,531,3163.134058
340.0,367,3175.80223
1090.0,881,3207.539525
470.0,831,3236.619578
390.0,488,3253.063075
1150.0,912,3284.306791
500.0,466,3300.219814
440.0,665,3322.972276
450.0,512,3341.054617
530.0,483,3357.988237
390.0,532,3377.161394
490.0,478,3393.39588
370.0,360,3405.469466
400.0,338,3416.806288
600.0,816,3444.384617
580.0,640,3466.01827
580.0,720,3491.810184
450.0,445,3507.635321
720.0,1126,3546.874487
530.0,463,3562.582353
420.0,465,3578.197962
430.0,623,3599.798577
1140.0,666,3622.551786
520.0,565,3643.003139
1150.0,733,3669.068852
1000.0,532,3686.955977
420.0,549,3705.536259
510.0,711,3730.181469
560.0,573,3750.255157
660.0,649,3772.192714
390.0,621,3793.415436
580.0,634,3815.076287
600.0,585,3835.489835
450.0,401,3849.565285
410.0,455,3865.061228
520.0,542,3884.087699
600.0,736,3909.43701
520.0,490,3925.999691
480.0,545,3945.488067
530.0,867,3974.836408
550.0,671,3997.719872
1120.0,687,4021.037349
360.0,407,4034.988124
480.0,457,4051.137489
490.0,469,4068.168072
390.0,420,4082.511187
380.0,565,4101.879529
490.0,594,4121.641006
500.0,526,4139.531207
550.0,466,4155.766242
580.0,827,4183.700603
1010.0,652,4206.662031
1080.0,618,4227.989307
600.0,559,4247.193396
1060.0,617,4268.498932
570.0,478,4285.076692
490.0,343,4296.740933
520.0,515,4314.66334
490.0,483,4330.799954
500.0,574,4350.457991
570.0,526,4367.973893
490.0,604,4389.180448
540.0,506,4406.751234
600.0,460,4422.31676
540.0,585,4442.303345
540.0,378,4455.453104
750.0,871,4485.630304
650.0,682,4509.811112
620.0,740,4535.899184
430.0,545,4554.458005
520.0,450,4569.700183
490.0,423,4584.738562
430.0,403,4598.828578
570.0,459,4614.063709
600.0,576,4633.456791
530.0,536,4651.005028
440.0,504,4668.959167
500.0,612,4690.501783
530.0,526,4708.310287
400.0,480,4724.699656
430.0,387,4738.06496
1290.0,787,4765.783749
480.0,633,4787.532576
530.0,460,4803.402473
580.0,738,4829.183446
490.0,439,4844.055584
480.0,426,4859.083566
510.0,495,4875.695202
580.0,638,4896.650413
540.0,370,4909.390148
480.0,383,4922.327719
660.0,563,4941.722459
560.0,407,4955.43972
480.0,364,4968.144736
520.0,378,4981.38457
520.0,507,4998.650518
550.0,550,5017.616027
540.0,475,5034.409131
640.0,592,5055.620083
500.0,378,5068.725362
490.0,350,5080.20773
1130.0,726,5106.478169
540.0,480,5122.748561
610.0,525,5140.797481
650.0,562,5159.865841
610.0,534,5178.409371
470.0,370,5191.250449
380.0,387,5204.536031
610.0,503,5221.343801
580.0,385,5235.130813
550.0,420,5248.993421
610.0,550,5266.937675
460.0,381,5280.01434
440.0,533,5298.17439
530.0,496,5315.187157
480.0,475,5331.628079
560.0,475,5348.286744
600.0,439,5362.958538
510.0,558,5381.916306
600.0,697,5405.277108
630.0,541,5424.119508
650.0,702,5449.229138
510.0,406,5463.833288
470.0,391,5477.672137
560.0,371,5490.045836
570.0,558,5509.582521
520.0,396,5523.916755
520.0,429,5538.647452
620.0,501,5555.959741
