# {"t_start": 1564960676.6793003, "env_id": "RobotankNoFrameskip-v4"} 
r,l,t
0.0,2022,55.11569
0.0,1127,85.024201
4.0,3359,172.134267
2.0,2024,224.697042
0.0,906,247.549523
2.0,2570,313.138782
0.0,1843,360.169115
0.0,1013,385.780055
3.0,3618,478.689189
3.0,3142,560.651759
4.0,3882,663.079595
1.0,2071,718.666278
0.0,2180,777.659415
2.0,2723,850.251506
0.0,2857,925.22015
3.0,3941,1033.576338
1.0,1278,1067.978803
4.0,3484,1157.880877
3.0,2247,1216.055744
2.0,3073,1295.016265
2.0,2761,1367.235996
1.0,2431,1430.074042
0.0,996,1455.207859
2.0,2910,1530.927768
3.0,1670,1573.602062
4.0,2385,1635.007054
5.0,1999,1687.642193
4.0,1654,1730.094636
1.0,869,1752.296396
0.0,1635,1794.794647
5.0,2447,1857.259465
0.0,1956,1906.85517
0.0,4400,2021.81111
1.0,2851,2096.160632
3.0,2230,2155.296015
3.0,4023,2268.770574
3.0,2398,2342.490559
1.0,1180,2382.721192
0.0,1775,2444.856163
0.0,1632,2502.577028
1.0,2043,2571.551965
2.0,2364,2653.693803
2.0,3517,2776.773665
1.0,1963,2845.624295
0.0,1276,2890.184203
1.0,1245,2933.086202
3.0,1650,2989.658253
0.0,1618,3045.239271
2.0,2465,3131.989443
1.0,2140,3206.044529
1.0,2542,3292.315513
0.0,1920,3358.253023
2.0,2677,3454.043105
1.0,1388,3501.66147
1.0,2649,3593.085088
1.0,1683,3650.609496
1.0,2889,3750.77956
1.0,1940,3820.352927
4.0,2294,3901.54946
2.0,2569,3990.408872
1.0,2477,4075.599864
2.0,1474,4127.366917
1.0,3168,4237.285367
3.0,2495,4323.794886
4.0,3931,4461.008148
3.0,5566,4652.038428
0.0,1539,4704.40885
1.0,3424,4823.952293
0.0,1670,4881.437
3.0,2785,4979.468597
2.0,3519,5101.031673
2.0,1984,5169.781213
1.0,1584,5226.07327
1.0,1176,5264.699859
3.0,2092,5336.905958
2.0,2062,5409.675246
0.0,1284,5453.634997
1.0,3966,5591.886024
2.0,2445,5676.148139
0.0,997,5710.538851
4.0,3485,5831.234106
5.0,3761,5959.014899
2.0,2477,6044.330119
3.0,2571,6134.667094
3.0,2863,6233.602237
2.0,2330,6315.050729
3.0,2148,6390.547774
4.0,2573,6480.293593
2.0,2769,6577.452744
3.0,2488,6661.592056
0.0,2965,6763.458639
3.0,2863,6864.550721
1.0,1232,6907.48196
4.0,3095,7014.23006
4.0,2909,7113.924491
2.0,1206,7155.664605
2.0,3036,7258.375753
1.0,1618,7314.683572
3.0,2773,7409.584702
4.0,2600,7498.426477
1.0,2800,7594.511768
2.0,1988,7663.168566
1.0,1875,7727.191018
4.0,3966,7865.296273
0.0,2359,7947.67258
2.0,4398,8096.604384
1.0,1313,8141.360123
4.0,2911,8242.194167
3.0,1781,8304.281626
4.0,2934,8406.46506
1.0,2050,8478.092735
4.0,2361,8559.626915
0.0,1778,8620.610074
2.0,1740,8680.282961
4.0,3401,8799.966492
2.0,1947,8867.066608
0.0,2303,8945.873319
2.0,1632,9001.57129
5.0,2543,9087.679222
3.0,2578,9176.545681
5.0,4148,9319.802814
1.0,1790,9381.334649
3.0,2423,9465.827794
4.0,4075,9607.148154
2.0,2065,9678.8848
3.0,5520,9872.185068
4.0,2315,9952.108685
3.0,3128,10062.427943
2.0,2420,10146.769557
3.0,2532,10235.417274
3.0,1306,10281.379875
1.0,1322,10326.431559
2.0,1253,10369.829157
3.0,3745,10500.33178
4.0,2563,10589.763347
0.0,2380,10673.234838
4.0,4227,10822.351283
1.0,1525,10875.629976
4.0,5210,11055.153511
2.0,1971,11124.245846
0.0,1657,11180.285228
6.0,3585,11304.88486
0.0,1717,11363.234907
2.0,2177,11438.59977
5.0,2626,11528.496074
0.0,2243,11606.326748
3.0,2586,11695.005706
2.0,4545,11852.488402
2.0,3036,11957.045242
0.0,887,11987.441868
0.0,2319,12067.799661
1.0,2213,12144.233356
1.0,1629,12199.55187
1.0,3056,12306.660502
1.0,1899,12371.78877
2.0,2918,12471.825602
6.0,5141,12647.869706
0.0,2010,12718.464516
2.0,5234,12899.318183
1.0,1864,12964.165457
0.0,872,12993.929757
1.0,2628,13085.386481
4.0,2906,13186.068065
0.0,2203,13262.717747
4.0,2204,13339.823531
0.0,1925,13407.531069
2.0,3027,13512.462059
