# {"t_start": 1564960676.4780748, "env_id": "RobotankNoFrameskip-v4"} 
r,l,t
2.0,2230,61.170074
3.0,2354,122.453454
4.0,3045,202.738013
5.0,2590,267.948039
1.0,1275,300.236496
3.0,3933,400.501463
1.0,1665,442.771449
0.0,2479,508.123794
2.0,3105,588.442855
7.0,5241,728.861476
1.0,3350,818.450059
3.0,3732,917.190337
0.0,2223,977.893961
2.0,1067,1006.409318
1.0,1968,1060.656876
1.0,1850,1109.252707
1.0,2534,1174.013885
3.0,4325,1285.445746
1.0,1779,1332.046686
2.0,2333,1392.783766
1.0,1848,1439.949553
1.0,1876,1488.701358
1.0,1622,1530.550231
1.0,1196,1561.430956
3.0,3616,1654.841204
0.0,2005,1706.656062
3.0,3202,1789.724206
0.0,1511,1828.773244
1.0,1621,1869.481148
3.0,2157,1924.66572
1.0,1254,1957.495178
3.0,3006,2036.011422
4.0,4893,2164.987123
1.0,2382,2227.986986
2.0,3396,2333.497127
5.0,4012,2473.210283
2.0,1726,2532.716726
4.0,1934,2599.174346
0.0,1175,2638.701127
1.0,902,2669.609761
2.0,2476,2756.887791
6.0,4065,2899.005508
3.0,3026,3003.831476
4.0,3619,3130.377597
1.0,2523,3217.48691
2.0,2009,3286.041681
4.0,1771,3345.880736
2.0,2040,3419.852406
1.0,2702,3512.837235
2.0,2605,3603.317453
0.0,3022,3707.575881
1.0,1962,3775.946543
1.0,1197,3818.731348
0.0,1267,3863.785337
3.0,2152,3939.231577
3.0,2796,4036.347739
1.0,2143,4110.294988
2.0,3684,4237.960756
2.0,3775,4368.796356
3.0,2427,4453.349557
4.0,2376,4536.199922
5.0,3271,4647.378869
0.0,1482,4697.869401
6.0,3682,4826.348438
2.0,1881,4891.544924
0.0,1743,4952.700258
0.0,2659,5045.575009
2.0,2531,5132.180803
2.0,1566,5187.034218
2.0,2809,5282.290764
4.0,3317,5399.605027
1.0,3545,5521.661454
4.0,2745,5617.823035
4.0,5337,5802.980443
4.0,2582,5891.770736
2.0,1646,5946.496336
0.0,1452,5996.834485
2.0,2255,6074.134875
3.0,2638,6167.067744
7.0,2214,6243.825968
2.0,1713,6302.968237
2.0,2851,6403.620795
6.0,3317,6518.74993
0.0,3130,6628.225681
1.0,1965,6694.235904
5.0,2563,6782.65684
4.0,2051,6854.924552
2.0,2122,6928.362421
1.0,1788,6990.829435
1.0,2059,7060.699718
4.0,2620,7151.268903
3.0,2793,7245.990979
0.0,2287,7325.467293
1.0,2739,7418.753995
4.0,2544,7505.689259
3.0,3792,7636.841923
2.0,1522,7688.766854
0.0,1526,7740.950519
3.0,4396,7893.687696
6.0,2778,7988.831226
0.0,1228,8030.66292
0.0,1849,8093.517648
5.0,3465,8212.898119
3.0,2654,8305.47283
1.0,1727,8364.980099
0.0,1592,8420.851605
2.0,2202,8497.936377
2.0,1138,8536.973108
3.0,3149,8644.414321
2.0,1981,8713.132335
1.0,1358,8761.211331
2.0,2422,8846.069933
0.0,1631,8900.754176
2.0,2647,8992.280722
2.0,1702,9049.509092
1.0,1506,9100.814823
0.0,1059,9136.325661
3.0,1797,9199.4316
2.0,1566,9253.42176
3.0,2053,9323.671447
2.0,2157,9398.266814
3.0,2957,9499.711309
1.0,1772,9560.86382
1.0,2926,9664.183207
4.0,2525,9752.589687
1.0,1630,9809.091848
1.0,1845,9872.903141
4.0,2465,9957.942924
3.0,2626,10050.795978
1.0,1708,10110.308896
4.0,2574,10199.799209
2.0,2200,10277.342582
4.0,3391,10395.121076
3.0,3102,10503.074648
0.0,2215,10580.637963
8.0,4758,10745.996967
1.0,2283,10828.127367
3.0,3408,10946.117188
2.0,1298,10991.852962
2.0,2064,11061.752994
0.0,1836,11125.874672
1.0,1924,11190.860679
1.0,2225,11268.479394
5.0,3505,11389.161171
3.0,2049,11459.326533
1.0,2297,11538.097926
4.0,3157,11647.755047
1.0,1852,11711.22574
1.0,3198,11822.610192
1.0,2014,11891.521917
3.0,3345,12007.147762
2.0,3088,12114.024629
1.0,2498,12199.324667
0.0,1268,12245.064448
1.0,2107,12317.154052
4.0,3357,12432.517888
3.0,3346,12547.743867
0.0,1512,12597.918787
5.0,2793,12695.456836
4.0,3865,12829.580305
1.0,2928,12931.21955
1.0,2190,13006.410737
0.0,1339,13051.846322
0.0,2179,13127.238545
4.0,3764,13259.166395
