# {"t_start": 1564699317.1439052, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-19.0,1059,6.441303
-21.0,805,10.7793
-21.0,880,15.64184
-21.0,820,20.182846
-21.0,845,24.768426
-20.0,960,29.948347
-20.0,947,35.019951
-21.0,909,39.947674
-21.0,996,45.933485
-21.0,861,54.441655
-21.0,758,60.916184
-20.0,926,67.508375
-20.0,870,72.187374
-21.0,786,76.484945
-18.0,1116,82.679108
-21.0,908,87.665061
-21.0,837,92.192512
-21.0,792,96.460523
-20.0,833,102.609368
-21.0,810,109.052851
-20.0,1015,117.04739
-21.0,782,123.100962
-20.0,1227,132.727144
-21.0,881,139.759764
-21.0,850,146.371717
-21.0,851,153.180999
-19.0,998,161.0584
-21.0,785,167.278788
-21.0,788,173.635174
-20.0,886,180.670685
-20.0,892,187.867971
-21.0,1003,195.819234
-19.0,1019,203.919135
-20.0,948,211.54253
-20.0,1093,220.245305
-20.0,919,227.557411
-21.0,938,235.003741
-18.0,1232,244.856057
-20.0,892,251.904572
-20.0,893,259.078271
-19.0,992,266.86521
-20.0,892,274.02444
-21.0,847,280.831596
-20.0,901,287.957576
-21.0,1060,296.427383
-19.0,1060,304.645984
-20.0,975,312.430048
-20.0,988,320.427532
-21.0,936,327.953183
-21.0,922,335.344084
-19.0,1052,343.838982
-21.0,821,350.615364
-18.0,1154,360.033552
-20.0,981,368.100345
-18.0,1179,377.712509
-18.0,1251,387.734248
-20.0,1196,397.435431
-19.0,1233,407.666733
-17.0,1541,422.51055
-19.0,1188,433.183496
-20.0,1230,443.94864
-16.0,1263,454.720341
-18.0,1322,465.958604
-19.0,1302,477.407588
-19.0,1395,489.838005
-18.0,1943,506.669876
-13.0,2119,525.481833
-20.0,1403,538.724943
-15.0,1923,554.795069
-14.0,2042,571.614635
-17.0,1560,584.267925
-16.0,1885,599.422288
-9.0,2272,620.106993
-17.0,1899,636.080191
-18.0,1782,650.902118
-16.0,1693,663.998275
-6.0,2911,686.818862
-6.0,2637,707.18733
-5.0,2960,730.083637
1.0,3225,755.005721
-17.0,1970,770.392935
-17.0,2065,787.134508
-8.0,2622,807.787684
-2.0,3156,835.718675
-11.0,2430,855.863525
-6.0,2779,878.286507
-7.0,2675,899.596896
-9.0,2608,920.082761
-1.0,3882,950.912546
-7.0,2641,971.830735
-10.0,2886,995.068158
-2.0,3723,1024.004636
-2.0,3540,1051.240415
4.0,4129,1083.023356
-2.0,3563,1110.408477
7.0,3478,1137.292913
-6.0,3802,1166.474475
2.0,4208,1198.763693
2.0,3624,1226.583627
9.0,2921,1249.171943
12.0,2583,1269.098237
17.0,1854,1283.563189
16.0,1908,1298.289965
21.0,1694,1311.379349
20.0,1716,1324.557352
21.0,1651,1337.317583
15.0,2058,1353.156492
20.0,1700,1366.184015
18.0,1852,1380.424713
18.0,1846,1394.656246
18.0,1769,1408.21783
20.0,1728,1421.55514
21.0,1645,1434.258973
20.0,1745,1447.75857
15.0,2078,1463.808566
20.0,1658,1476.622167
18.0,1950,1491.678391
18.0,1888,1506.21185
18.0,1876,1520.646511
