# {"t_start": 1564699317.1751385, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,878,5.46744
-21.0,760,9.483171
-21.0,763,13.661103
-21.0,885,18.630514
-21.0,826,23.096295
-21.0,978,28.389358
-21.0,1022,33.890465
-21.0,1004,39.324229
-21.0,1003,44.817244
-21.0,760,52.384244
-20.0,840,60.109783
-21.0,838,66.34287
-21.0,758,70.412786
-21.0,763,74.546698
-20.0,941,79.715849
-21.0,1035,85.497638
-21.0,826,89.970265
-20.0,901,94.826837
-20.0,895,100.713943
-21.0,819,107.235392
-20.0,835,113.860525
-20.0,897,120.826421
-21.0,883,127.716913
-21.0,822,134.196739
-21.0,846,140.924783
-20.0,1133,149.741231
-21.0,783,156.073645
-21.0,778,162.200699
-21.0,778,168.369513
-21.0,848,175.202701
-19.0,996,183.139083
-20.0,935,190.644463
-21.0,877,197.550349
-21.0,898,204.730352
-21.0,787,211.089166
-21.0,967,218.78232
-19.0,1091,227.452637
-21.0,880,234.436506
-19.0,915,241.69722
-19.0,1024,249.845921
-21.0,820,256.444604
-21.0,830,263.060219
-18.0,1130,272.004263
-20.0,894,279.182398
-21.0,956,286.756463
-19.0,1143,295.905395
-20.0,1172,304.999783
-20.0,1109,313.903707
-19.0,1017,322.108453
-18.0,1399,333.348187
-21.0,825,340.012504
-19.0,1018,348.285359
-19.0,1004,356.479053
-20.0,948,364.184326
-20.0,885,371.62911
-20.0,1178,381.058759
-19.0,1246,391.069046
-20.0,985,399.098233
-21.0,897,406.481036
-19.0,982,415.891502
-17.0,1378,428.828378
-19.0,1125,438.66214
-19.0,1233,449.292962
-16.0,1531,462.294084
-14.0,1762,477.757671
-14.0,1670,492.485427
-18.0,1573,506.126275
-17.0,1542,519.510436
-18.0,1584,534.044117
-16.0,1765,549.838171
-15.0,1910,565.37721
-12.0,2063,582.219599
-17.0,1742,596.24442
-15.0,1927,613.490763
-18.0,1572,627.252576
-12.0,2215,645.873093
-10.0,2330,664.075894
-7.0,2643,684.727479
-7.0,2594,704.894364
-2.0,3229,729.82418
-16.0,1896,744.484758
-1.0,3238,769.567721
-10.0,2500,789.839335
-6.0,3074,814.114376
-9.0,2211,834.554369
-9.0,3107,860.12229
-7.0,2949,883.780981
-10.0,2251,901.874267
-10.0,2672,922.822683
-10.0,2652,943.908524
2.0,4007,975.720564
-9.0,2986,999.69173
-4.0,3523,1026.880605
-9.0,3644,1054.933342
4.0,3436,1081.343677
-8.0,2601,1101.348204
-5.0,3083,1125.106601
2.0,3906,1155.203
2.0,3344,1180.826679
6.0,3457,1207.392783
8.0,3231,1232.195457
9.0,2684,1252.955645
19.0,1868,1267.379959
18.0,1865,1281.916131
17.0,1840,1296.131588
20.0,1711,1309.339623
19.0,1808,1323.236078
18.0,1793,1337.07672
14.0,2057,1352.888909
16.0,2092,1368.986678
19.0,1867,1383.294019
20.0,1689,1396.343971
20.0,1666,1409.097972
19.0,1869,1423.52949
20.0,1744,1437.010291
20.0,1666,1449.916766
19.0,1787,1463.69483
20.0,1722,1477.029633
18.0,1841,1491.226712
19.0,1833,1505.332912
16.0,1889,1519.87264
20.0,1663,1532.759696
20.0,1715,1545.931246
5.0,2255,1563.324042
19.0,1735,1576.670398
18.0,1809,1591.030248
18.0,1896,1605.758348
20.0,1694,1618.972696
20.0,1681,1631.991682
15.0,1990,1647.300657
20.0,1661,1660.066658
20.0,1686,1672.953727
20.0,1663,1685.776792
17.0,1924,1700.588957
20.0,1701,1713.691659
19.0,1753,1727.149314
18.0,1806,1741.058773
17.0,1946,1756.091184
15.0,1958,1771.156092
19.0,1767,1784.777486
17.0,1854,1799.063365
9.0,2142,1815.498187
20.0,1701,1828.623276
20.0,1720,1841.823387
20.0,1721,1855.104162
19.0,1788,1868.872159
20.0,1747,1882.346739
20.0,1695,1895.410862
20.0,1710,1908.565473
20.0,1695,1921.571008
16.0,1897,1936.209808
21.0,1687,1949.209746
20.0,1657,1961.973003
18.0,1833,1976.080132
18.0,2068,1991.938165
18.0,1875,2006.380354
19.0,1844,2020.573448
21.0,1692,2033.590225
20.0,1689,2046.581044
19.0,1750,2060.067984
20.0,1671,2072.891408
19.0,1838,2086.972748
20.0,1660,2099.706659
21.0,1693,2112.674397
16.0,1917,2127.398171
19.0,1788,2141.207159
16.0,1829,2155.335072
20.0,1832,2169.457598
16.0,1916,2184.179563
21.0,1714,2197.435829
20.0,1741,2210.858332
20.0,1746,2224.241303
20.0,1662,2237.054015
18.0,1780,2250.692922
21.0,1646,2263.361375
21.0,1690,2276.438923
20.0,1749,2289.93097
16.0,2111,2306.25385
21.0,1691,2319.2815
20.0,1747,2332.755424
21.0,1647,2345.454557
20.0,1709,2358.570336
21.0,1686,2371.587072
18.0,2071,2387.624213
19.0,1810,2401.544217
21.0,1632,2414.106841
19.0,1878,2428.567868
20.0,1661,2441.339292
20.0,1725,2454.782448
17.0,1943,2469.725332
21.0,1651,2482.450774
21.0,1695,2495.419153
-3.0,2334,2513.333472
20.0,1661,2526.131781
21.0,1653,2538.796301
19.0,1857,2553.06578
18.0,1989,2568.395898
-8.0,1920,2583.131477
18.0,1749,2596.708031
21.0,1649,2609.938629
14.0,2047,2627.860998
19.0,1886,2644.336205
21.0,1693,2658.159607
20.0,1781,2673.265532
20.0,1767,2687.482489
16.0,1822,2701.979469
-9.0,1832,2716.796552
-21.0,778,2722.996266
-21.0,780,2729.110773
-21.0,816,2735.798612
-21.0,778,2742.213609
-21.0,775,2748.383218
-20.0,832,2754.970245
-21.0,781,2761.322801
-20.0,1217,2771.003511
17.0,1912,2786.11178
21.0,1648,2798.892259
19.0,1877,2813.538143
