# {"t_start": 1564699317.183839, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,760,4.815105
-21.0,759,8.803357
-20.0,914,13.844054
-21.0,820,18.429229
-21.0,910,23.376786
-21.0,876,28.10721
-21.0,841,32.630945
-20.0,914,37.585005
-20.0,988,42.921916
-20.0,915,50.515092
-20.0,885,59.217487
-21.0,900,65.927296
-21.0,764,70.029613
-20.0,968,75.284856
-20.0,980,80.728727
-21.0,882,85.618259
-20.0,836,90.148774
-21.0,943,95.222766
-20.0,897,101.293309
-20.0,883,108.354791
-21.0,882,115.31748
-19.0,1091,123.808045
-21.0,957,131.28687
-20.0,856,138.142036
-20.0,1048,146.292486
-21.0,781,152.540987
-21.0,818,159.02375
-20.0,894,166.068977
-21.0,905,173.348454
-21.0,818,179.840443
-21.0,818,186.460889
-20.0,990,194.353484
-21.0,930,201.641574
-20.0,835,208.411068
-19.0,1064,216.922844
-20.0,876,223.844946
-21.0,795,230.176713
-21.0,851,236.962978
-20.0,955,244.601608
-19.0,1024,252.68463
-18.0,1080,261.354073
-18.0,1351,272.064205
-21.0,837,278.757755
-20.0,885,285.786069
-21.0,902,292.92678
-21.0,943,300.356416
-21.0,807,306.72524
-19.0,1068,315.336597
-20.0,895,322.514215
-20.0,1117,331.498799
-21.0,929,338.994614
-17.0,1282,349.483469
-20.0,1083,358.255775
-21.0,1007,366.505719
-17.0,1184,376.329343
-21.0,924,383.564375
-21.0,934,391.134065
-19.0,1176,400.831523
-18.0,1283,412.460043
-19.0,1280,424.451585
-16.0,1392,436.73454
-18.0,1371,448.531591
-19.0,1200,458.762699
-19.0,1365,470.314606
-16.0,1809,486.581254
-19.0,1412,498.807068
-13.0,1721,513.824613
-9.0,2298,534.524337
-17.0,1753,550.172329
-14.0,2119,567.398536
-14.0,1708,581.330722
-17.0,2036,597.809345
-17.0,1572,611.743471
-18.0,1354,624.005936
-8.0,2528,645.302443
-19.0,1950,660.627532
-7.0,2504,679.807629
-8.0,2668,700.918228
-17.0,1832,715.0656
-20.0,1541,726.960916
-3.0,3294,752.416916
-6.0,3033,776.221879
-11.0,2527,796.525691
-3.0,3105,822.615841
1.0,3088,849.028944
-6.0,3099,874.223123
-12.0,2111,890.959505
-7.0,2400,910.139194
-8.0,2716,931.52265
-2.0,3492,959.341716
2.0,3786,989.543303
1.0,4415,1024.031187
-12.0,2485,1043.114754
-4.0,3517,1070.165217
-8.0,3085,1093.935282
-2.0,3683,1122.233202
1.0,3790,1151.524626
-3.0,3443,1177.879875
6.0,3704,1206.351189
-2.0,3305,1231.719446
9.0,2830,1253.61563
12.0,2611,1273.760479
16.0,1970,1289.130665
18.0,1857,1303.44548
18.0,1953,1318.490605
19.0,1796,1332.334679
20.0,1690,1345.386863
19.0,2104,1361.533815
20.0,1665,1374.383832
17.0,1971,1389.519618
19.0,1735,1402.86643
20.0,1786,1416.613823
21.0,1627,1429.164491
19.0,1746,1442.653632
20.0,1717,1455.896747
20.0,1770,1469.558201
17.0,1868,1484.014721
20.0,1704,1497.169459
21.0,1689,1510.148983
20.0,1663,1522.977645
20.0,1746,1536.488676
20.0,1696,1549.553188
6.0,2237,1566.786144
12.0,2336,1585.223372
16.0,1881,1599.701079
20.0,1667,1612.775463
20.0,1699,1625.902658
17.0,1848,1640.155849
19.0,1745,1653.575749
18.0,1802,1667.410593
20.0,1705,1680.448297
18.0,1751,1693.975287
20.0,1727,1707.247599
19.0,1744,1720.684093
18.0,1809,1734.625867
21.0,1688,1747.668851
19.0,1871,1762.025773
19.0,1790,1775.880495
20.0,1664,1788.70781
21.0,1647,1801.346607
8.0,2190,1818.16495
19.0,1831,1832.23194
20.0,1666,1845.082712
19.0,1718,1858.330896
20.0,1780,1872.04309
19.0,1792,1885.851167
16.0,2130,1902.325142
20.0,1687,1915.192824
19.0,1829,1929.306123
13.0,2336,1947.300367
19.0,1803,1961.18399
18.0,1877,1975.65713
21.0,1650,1988.293578
19.0,1808,2002.198152
20.0,1693,2015.27657
18.0,2129,2031.619268
20.0,1721,2044.860652
20.0,1743,2058.282103
19.0,1721,2071.523407
20.0,1754,2084.937478
21.0,1690,2097.92389
20.0,1930,2112.712025
18.0,1927,2127.507625
20.0,1778,2141.243658
18.0,1858,2155.609743
21.0,1652,2168.327249
19.0,1839,2182.449652
20.0,1657,2195.226109
19.0,1716,2208.498246
20.0,1778,2222.141367
18.0,1900,2236.778358
21.0,1706,2249.848285
20.0,1749,2263.303902
20.0,1667,2276.203268
19.0,1897,2290.870168
18.0,1880,2305.384122
18.0,1844,2319.587561
20.0,1785,2333.371984
20.0,1755,2346.878782
21.0,1652,2359.617559
20.0,1661,2372.39785
21.0,1653,2385.153862
19.0,1790,2398.988205
19.0,1786,2412.680227
20.0,1725,2426.01686
19.0,1771,2439.602129
20.0,1719,2452.981931
19.0,1880,2467.486553
20.0,1725,2480.750582
19.0,1825,2494.736324
-4.0,2476,2513.771341
20.0,1715,2526.999048
20.0,1804,2540.808002
19.0,1880,2555.249182
20.0,1664,2568.043045
5.0,2385,2586.478999
20.0,1746,2599.968847
15.0,1960,2616.039842
21.0,1627,2630.803252
20.0,1709,2645.426368
19.0,1842,2660.413339
19.0,1869,2676.377521
17.0,1941,2691.894826
20.0,1694,2705.275406
-14.0,1358,2716.32728
-21.0,815,2722.824857
-21.0,851,2729.572293
-21.0,822,2736.2895
-20.0,963,2744.211324
-20.0,856,2750.938491
-20.0,834,2757.751349
-19.0,951,2765.24029
5.0,2453,2784.696929
20.0,1744,2798.239206
16.0,2183,2815.250531
19.0,1965,2830.44022
20.0,1727,2843.885154
21.0,1635,2856.710157
21.0,1687,2870.131908
21.0,1648,2883.454448
11.0,2038,2900.024506
20.0,1679,2913.111036
19.0,1705,2926.392505
21.0,1752,2940.106107
20.0,1665,2955.329689
21.0,1697,2973.605492
21.0,1687,2991.872032
-15.0,1330,3006.235363
-20.0,979,3016.878983
-20.0,948,3027.162204
-20.0,1123,3039.44952
-19.0,1083,3051.192103
19.0,1754,3070.858727
20.0,1757,3094.793777
14.0,1983,3122.206069
20.0,1665,3145.479404
18.0,1908,3172.068029
20.0,1759,3196.774144
20.0,1721,3220.125698
17.0,1852,3245.451135
21.0,1695,3268.859795
18.0,1824,3293.393566
19.0,1867,3319.621435
20.0,1743,3346.39459
20.0,1662,3372.143887
20.0,1751,3398.948043
20.0,1663,3424.406404
21.0,1696,3450.263236
20.0,1749,3477.072883
19.0,1703,3500.957877
16.0,1880,3526.985387
20.0,1704,3551.026468
20.0,1749,3575.315885
20.0,1725,3600.873054
19.0,1899,3627.847217
15.0,1936,3654.735831
20.0,1744,3678.479809
18.0,1891,3704.814333
21.0,1650,3729.429543
21.0,1695,3754.06012
21.0,1649,3776.847629
20.0,1718,3801.684685
21.0,1646,3825.846628
20.0,1704,3849.278154
18.0,1847,3874.648782
21.0,1691,3898.207091
19.0,1805,3925.341607
19.0,1826,3951.977357
19.0,1823,3978.028794
20.0,1757,4002.455835
20.0,1805,4027.264341
17.0,1937,4053.639594
20.0,1665,4076.824627
20.0,1669,4099.682626
21.0,1690,4122.474986
19.0,1835,4147.138536
18.0,1853,4172.112647
21.0,1686,4195.222737
20.0,1661,4218.101882
20.0,1799,4242.230023
21.0,1650,4264.54453
18.0,1835,4289.623745
20.0,1750,4315.0996
19.0,1789,4339.509833
21.0,1654,4361.750254
17.0,2095,4390.501976
20.0,1817,4415.816942
20.0,1760,4440.373499
20.0,1705,4463.434488
21.0,1690,4486.94711
19.0,1870,4513.084988
21.0,1696,4538.799395
21.0,1686,4564.36643
20.0,1782,4589.738769
20.0,1750,4614.401832
21.0,1691,4638.015564
19.0,1805,4663.886124
20.0,1663,4686.638605
20.0,1758,4711.367002
19.0,1789,4737.195276
20.0,1694,4760.786065
21.0,1649,4782.751885
18.0,1984,4809.709365
21.0,1652,4832.243694
19.0,1943,4858.600617
20.0,1804,4884.24854
18.0,1821,4910.127227
21.0,1757,4935.897228
18.0,1837,4975.693554
20.0,1698,5002.580574
19.0,1783,5027.62662
20.0,1664,5050.967809
20.0,1748,5075.440741
21.0,1647,5097.793233
21.0,1696,5122.544503
21.0,1686,5157.728714
20.0,1845,5201.002293
20.0,1740,5241.446815
20.0,1659,5280.076395
15.0,1987,5326.516922
20.0,1734,5366.800877
19.0,1839,5409.222724
19.0,1821,5451.945156
21.0,1647,5490.216205
19.0,1777,5531.432341
21.0,1643,5569.333321
19.0,1772,5610.823134
17.0,1997,5658.364121
21.0,1768,5699.497353
19.0,1714,5739.622399
20.0,1687,5779.540565
21.0,1691,5819.361914
20.0,1717,5859.373939
20.0,1863,5903.019153
21.0,1697,5942.065985
20.0,1827,5985.066594
21.0,1694,6024.954647
20.0,1684,6063.82548
21.0,1751,6104.772935
21.0,1651,6143.090566
20.0,1746,6184.385932
20.0,1850,6227.433456
20.0,1784,6268.895589
20.0,1668,6307.96662
20.0,1745,6348.953985
21.0,1685,6387.969507
20.0,1801,6430.081829
18.0,1786,6471.533433
19.0,1799,6513.775106
21.0,1648,6551.941599
19.0,1745,6592.926978
20.0,1754,6632.669279
21.0,1693,6673.280108
20.0,1730,6713.947434
19.0,1787,6754.989999
20.0,1696,6793.359841
20.0,1663,6831.929172
18.0,1919,6876.22409
21.0,1651,6914.638335
21.0,1642,6953.175555
14.0,1935,6998.450579
-14.0,1325,7028.901113
15.0,1935,7074.442723
18.0,1894,7118.720914
21.0,1697,7158.191517
21.0,1643,7197.043805
17.0,1991,7244.011421
