# {"t_start": 1564699317.1615689, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,759,4.825633
-20.0,870,9.435775
-20.0,974,14.824882
-21.0,798,19.27845
-20.0,1086,25.178825
-21.0,979,30.461183
-21.0,885,35.197569
-19.0,998,40.606182
-21.0,817,45.345058
-21.0,879,54.032148
-21.0,858,61.792176
-21.0,762,66.951129
-21.0,761,71.034373
-21.0,822,75.500551
-20.0,975,80.915886
-21.0,780,85.215343
-20.0,836,89.757029
-21.0,884,94.521064
-21.0,902,100.395493
-21.0,869,107.23487
-21.0,884,114.250788
-20.0,962,121.71888
-21.0,818,128.098778
-19.0,1218,137.79121
-21.0,819,144.179208
-20.0,919,151.465473
-20.0,877,158.431639
-20.0,892,165.477882
-21.0,1180,174.940877
-20.0,929,182.324793
-20.0,899,189.573829
-18.0,1028,197.685971
-20.0,947,205.269287
-19.0,970,213.068717
-20.0,837,219.740478
-21.0,941,227.188094
-19.0,971,234.913888
-21.0,820,241.396345
-20.0,958,249.021403
-20.0,990,257.008317
-21.0,954,264.554876
-21.0,821,271.063653
-21.0,930,278.516649
-21.0,868,285.400691
-21.0,1016,293.490791
-21.0,894,300.490035
-21.0,901,307.641927
-20.0,976,315.495231
-19.0,1053,323.955734
-20.0,1175,333.395492
-19.0,914,340.797091
-19.0,1056,349.428963
-19.0,1053,357.948592
-19.0,1251,368.299439
-18.0,1219,378.203242
-21.0,906,385.410531
-20.0,1223,395.326143
-19.0,1130,404.617364
-16.0,1599,419.438634
-21.0,1079,429.59895
-18.0,1455,442.361782
-20.0,1063,451.427436
-18.0,1240,461.935655
-17.0,1657,476.325439
-13.0,2009,494.165051
-17.0,1699,508.935684
-15.0,1960,526.559078
-16.0,1640,541.997972
-16.0,1711,555.826138
-16.0,2004,572.361206
-15.0,1771,586.585958
-10.0,2318,605.474246
-18.0,1566,620.31374
-2.0,3005,645.685302
-4.0,2912,668.329654
-7.0,2608,688.900543
-19.0,1569,701.031243
-7.0,2807,722.686955
-13.0,2181,739.559845
-20.0,1527,751.321573
-17.0,1831,765.38311
-11.0,2510,785.767772
-12.0,2585,806.181284
-5.0,2961,832.505014
-12.0,2794,855.565181
-9.0,3118,880.672772
-9.0,2581,901.365415
-2.0,3630,929.837201
-3.0,3137,954.887892
-2.0,3895,985.832244
-6.0,3539,1013.757963
2.0,4225,1046.272535
-5.0,3289,1071.569252
-8.0,2755,1092.794058
-4.0,3385,1118.812011
1.0,3552,1146.296234
-9.0,2788,1167.639737
7.0,3515,1194.592495
-3.0,3550,1221.847728
6.0,3348,1247.694511
11.0,2790,1269.240282
18.0,1838,1283.595038
16.0,2254,1300.965168
17.0,2033,1316.646738
20.0,1807,1330.533003
20.0,1664,1343.379569
18.0,1774,1357.062549
18.0,1976,1372.237056
21.0,1662,1384.975003
20.0,1663,1397.793643
20.0,1665,1410.537521
17.0,1967,1425.753623
17.0,1874,1440.23617
19.0,1740,1453.68311
18.0,1854,1467.991489
20.0,1693,1481.115086
18.0,1816,1495.118178
19.0,1766,1508.695354
19.0,1739,1522.096993
21.0,1771,1535.828273
18.0,1821,1549.881224
5.0,2287,1567.488081
19.0,1748,1581.046055
18.0,1888,1595.882204
20.0,1665,1608.867623
19.0,1750,1622.45984
20.0,1663,1635.311328
20.0,1666,1648.151219
19.0,1766,1661.703542
19.0,1851,1675.862421
19.0,1746,1689.326442
17.0,1819,1703.325748
19.0,1841,1717.485137
20.0,1685,1730.426755
16.0,1914,1745.216113
20.0,1695,1758.254379
16.0,2064,1774.194278
19.0,1758,1787.775554
20.0,1745,1801.16922
6.0,2450,1819.974992
20.0,1759,1833.537486
21.0,1752,1847.03722
21.0,1691,1860.095374
19.0,1748,1873.521705
18.0,1808,1887.475191
21.0,1629,1900.038209
20.0,1662,1912.737475
20.0,1789,1926.539685
17.0,1847,1940.787213
20.0,1734,1954.142927
16.0,1939,1969.105126
21.0,1715,1982.231527
19.0,1840,1996.372456
21.0,1694,2009.466673
19.0,1847,2023.669321
20.0,1899,2038.232845
18.0,1987,2053.541071
20.0,1720,2066.776079
20.0,1861,2081.04008
20.0,1660,2093.750584
19.0,1899,2108.378234
19.0,1726,2121.603167
17.0,2030,2137.202615
20.0,1748,2150.743835
19.0,1801,2164.638
20.0,1785,2178.320313
20.0,1723,2191.63456
20.0,1745,2205.098792
21.0,1686,2218.069538
19.0,1881,2232.529129
16.0,2085,2248.510519
20.0,1771,2262.151733
21.0,1652,2274.923897
19.0,1798,2288.786643
20.0,1697,2301.96503
21.0,1647,2314.651887
21.0,1687,2327.605475
19.0,1928,2342.484741
20.0,1749,2355.94113
21.0,1690,2368.997965
20.0,1665,2381.818353
19.0,1877,2396.319837
16.0,2155,2412.899865
18.0,1914,2427.660108
19.0,1790,2441.43098
20.0,1662,2454.345076
19.0,1733,2467.727129
19.0,1842,2481.92133
20.0,1665,2494.631199
7.0,2361,2512.769774
18.0,1795,2526.620192
21.0,1642,2539.169794
20.0,1660,2551.882653
